label,top_left_x,top_left_y,width,height,image_name,image_width,image_height
Black-naped Oriole,121,114,58,91,Black-naped Oriole-0.png,224,224
Black-naped Oriole,91,92,73,51,Black-naped Oriole-1.png,224,224
Black-naped Oriole,99,84,43,67,Black-naped Oriole-10.png,224,224
Black-naped Oriole,86,109,39,17,Black-naped Oriole-100.png,224,224
Black-naped Oriole,112,85,32,14,Black-naped Oriole-101.png,224,224
Black-naped Oriole,93,164,28,17,Black-naped Oriole-101.png,224,224
Black-naped Oriole,65,49,78,153,Black-naped Oriole-102.png,224,224
Black-naped Oriole,80,75,36,37,Black-naped Oriole-103.png,224,224
Black-naped Oriole,108,85,13,32,Black-naped Oriole-104.png,224,224
Black-naped Oriole,86,74,49,54,Black-naped Oriole-105.png,224,224
Black-naped Oriole,36,81,143,76,Black-naped Oriole-106.png,224,224
Black-naped Oriole,86,55,60,68,Black-naped Oriole-107.png,224,224
Black-naped Oriole,90,87,23,56,Black-naped Oriole-108.png,224,224
Black-naped Oriole,119,128,5,13,Black-naped Oriole-109.png,224,224
Black-naped Oriole,65,48,25,40,Black-naped Oriole-110.png,224,224
Black-naped Oriole,103,82,31,35,Black-naped Oriole-111.png,224,224
Black-naped Oriole,10,48,170,138,Black-naped Oriole-112.png,224,224
Black-naped Oriole,92,76,41,55,Black-naped Oriole-13.png,224,224
Black-naped Oriole,69,70,73,88,Black-naped Oriole-15.png,224,224
Black-naped Oriole,68,53,128,113,Black-naped Oriole-16.png,224,224
Black-naped Oriole,20,70,40,41,Black-naped Oriole-17.png,224,224
Black-naped Oriole,169,41,30,48,Black-naped Oriole-17.png,224,224
Black-naped Oriole,142,132,50,28,Black-naped Oriole-17.png,224,224
Black-naped Oriole,67,112,94,112,Black-naped Oriole-18.png,224,224
Black-naped Oriole,80,80,36,74,Black-naped Oriole-19.png,224,224
Black-naped Oriole,80,53,144,127,Black-naped Oriole-2.png,224,224
Black-naped Oriole,58,47,67,65,Black-naped Oriole-20.png,224,224
