label,top_left_x,top_left_y,width,height,image_name,image_width,image_height
Brown-throated Sunbird,78,91,72,72,Brown-throated Sunbird-1.png,224,224
Brown-throated Sunbird,11,30,207,107,Brown-throated Sunbird-100.png,224,224
Brown-throated Sunbird,115,82,48,32,Brown-throated Sunbird-101.png,224,224
Brown-throated Sunbird,56,82,106,57,Brown-throated Sunbird-121.png,224,224
Brown-throated Sunbird,81,73,63,98,Brown-throated Sunbird-103.png,224,224
Brown-throated Sunbird,67,106,52,30,Brown-throated Sunbird-104.png,224,224
Brown-throated Sunbird,128,67,60,116,Brown-throated Sunbird-105.png,224,224
Brown-throated Sunbird,88,104,52,43,Brown-throated Sunbird-106.png,224,224
Brown-throated Sunbird,87,100,42,41,Brown-throated Sunbird-108.png,224,224
Brown-throated Sunbird,84,96,63,31,Brown-throated Sunbird-109.png,224,224
Brown-throated Sunbird,95,85,36,79,Brown-throated Sunbird-11.png,224,224
Brown-throated Sunbird,43,103,139,59,Brown-throated Sunbird-110.png,224,224
Brown-throated Sunbird,49,1,120,109,Brown-throated Sunbird-111.png,224,224
Brown-throated Sunbird,89,92,45,47,Brown-throated Sunbird-112.png,224,224
Brown-throated Sunbird,85,68,19,53,Brown-throated Sunbird-113.png,224,224
Brown-throated Sunbird,64,63,81,91,Brown-throated Sunbird-118.png,224,224
Brown-throated Sunbird,86,86,49,45,Brown-throated Sunbird-12.png,224,224
Brown-throated Sunbird,104,90,21,63,Brown-throated Sunbird-13.png,224,224
Brown-throated Sunbird,78,68,51,74,Brown-throated Sunbird-14.png,224,224
Brown-throated Sunbird,89,95,39,45,Brown-throated Sunbird-15.png,224,224
Brown-throated Sunbird,76,89,54,67,Brown-throated Sunbird-16.png,224,224
Brown-throated Sunbird,20,61,147,58,Brown-throated Sunbird-17.png,224,224
Brown-throated Sunbird,108,53,88,97,Brown-throated Sunbird-136.png,224,224
Brown-throated Sunbird,34,92,111,37,Brown-throated Sunbird-19.png,224,224
Brown-throated Sunbird,46,39,88,160,Brown-throated Sunbird-2.png,224,224
Brown-throated Sunbird,64,52,93,138,Brown-throated Sunbird-135.png,224,224
Brown-throated Sunbird,24,84,125,76,Brown-throated Sunbird-21.png,224,224
Brown-throated Sunbird,103,115,28,32,Brown-throated Sunbird-134.png,224,224
Brown-throated Sunbird,1,59,205,138,Brown-throated Sunbird-133.png,224,224
Brown-throated Sunbird,75,68,47,36,Brown-throated Sunbird-130.png,224,224
Brown-throated Sunbird,112,58,47,132,Brown-throated Sunbird-26.png,224,224
Brown-throated Sunbird,80,94,27,52,Brown-throated Sunbird-27.png,224,224
Brown-throated Sunbird,96,64,73,138,Brown-throated Sunbird-28.png,224,224
Brown-throated Sunbird,72,67,51,65,Brown-throated Sunbird-29.png,224,224
Brown-throated Sunbird,96,86,29,50,Brown-throated Sunbird-3.png,224,224
Brown-throated Sunbird,59,89,88,135,Brown-throated Sunbird-30.png,224,224
Brown-throated Sunbird,32,43,95,144,Brown-throated Sunbird-33.png,224,224
Brown-throated Sunbird,4,36,193,154,Brown-throated Sunbird-34.png,224,224
Brown-throated Sunbird,111,87,17,46,Brown-throated Sunbird-37.png,224,224
Brown-throated Sunbird,74,100,34,50,Brown-throated Sunbird-39.png,224,224
Brown-throated Sunbird,74,82,119,99,Brown-throated Sunbird-4.png,224,224
Brown-throated Sunbird,55,45,127,81,Brown-throated Sunbird-40.png,224,224
Brown-throated Sunbird,78,48,78,99,Brown-throated Sunbird-41.png,224,224
