label,top_left_x,top_left_y,width,height,image_name,image_width,image_height
Javan Myna,50,61,81,86,Javan Myna-0.png,224,224
Javan Myna,76,120,48,25,Javan Myna-1.png,224,224
Javan Myna,100,95,22,23,Javan Myna-10.png,224,224
Javan Myna,104,71,33,48,Javan Myna-100.png,224,224
Javan Myna,131,72,42,49,Javan Myna-100.png,224,224
Javan Myna,75,89,22,46,Javan Myna-101.png,224,224
Javan Myna,120,97,25,43,Javan Myna-101.png,224,224
Javan Myna,32,63,105,110,Javan Myna-103.png,224,224
Javan Myna,122,58,39,69,Javan Myna-103.png,224,224
Javan Myna,42,56,54,53,Javan Myna-104.png,224,224
Javan Myna,79,90,37,67,Javan Myna-104.png,224,224
Javan Myna,126,99,45,62,Javan Myna-104.png,224,224
Javan Myna,54,114,58,30,Javan Myna-105.png,224,224
Javan Myna,108,92,27,38,Javan Myna-105.png,224,224
Javan Myna,70,82,87,55,Javan Myna-106.png,224,224
Javan Myna,111,42,70,59,Javan Myna-107.png,224,224
Javan Myna,28,145,88,40,Javan Myna-107.png,224,224
Javan Myna,15,87,95,62,Javan Myna-108.png,224,224
Javan Myna,30,43,147,146,Javan Myna-11.png,224,224
Javan Myna,70,96,13,39,Javan Myna-110.png,224,224
Javan Myna,136,75,17,31,Javan Myna-110.png,224,224
Javan Myna,83,44,63,133,Javan Myna-111.png,224,224
Javan Myna,57,62,124,104,Javan Myna-112.png,224,224
Javan Myna,86,83,59,63,Javan Myna-114.png,224,224
Javan Myna,63,62,97,88,Javan Myna-115.png,224,224
Javan Myna,14,10,168,198,Javan Myna-116.png,224,224
Javan Myna,38,76,152,112,Javan Myna-119.png,224,224
Javan Myna,132,108,8,14,Javan Myna-12.png,224,224
Javan Myna,83,68,56,88,Javan Myna-121.png,224,224
Javan Myna,74,62,63,118,Javan Myna-122.png,224,224
Javan Myna,68,74,76,83,Javan Myna-123.png,224,224
Javan Myna,104,67,95,99,Javan Myna-13.png,224,224
Javan Myna,40,20,74,121,Javan Myna-14.png,224,224
Javan Myna,87,94,49,44,Javan Myna-15.png,224,224
Javan Myna,29,88,81,70,Javan Myna-16.png,224,224
Javan Myna,7,69,38,75,Javan Myna-18.png,224,224
Javan Myna,113,93,32,50,Javan Myna-18.png,224,224
Javan Myna,90,132,32,30,Javan Myna-19.png,224,224
Javan Myna,127,121,26,40,Javan Myna-19.png,224,224
Javan Myna,118,56,36,57,Javan Myna-2.png,224,224
Javan Myna,107,69,65,76,Javan Myna-20.png,224,224
Javan Myna,70,52,66,105,Javan Myna-22.png,224,224
Javan Myna,51,54,108,113,Javan Myna-23.png,224,224
Javan Myna,59,73,97,66,Javan Myna-24.png,224,224
Javan Myna,86,119,47,83,Javan Myna-24.png,224,224
Javan Myna,33,15,131,195,Javan Myna-25.png,224,224
Javan Myna,66,86,27,30,Javan Myna-26.png,224,224
Javan Myna,26,72,109,97,Javan Myna-28.png,224,224
Javan Myna,48,74,52,67,Javan Myna-29.png,224,224
Javan Myna,97,65,38,75,Javan Myna-29.png,224,224
Javan Myna,45,57,147,115,Javan Myna-31.png,224,224
Javan Myna,59,64,109,96,Javan Myna-32.png,224,224
Javan Myna,83,64,39,104,Javan Myna-33.png,224,224
Javan Myna,55,119,82,54,Javan Myna-34.png,224,224
Javan Myna,30,62,141,86,Javan Myna-35.png,224,224
Javan Myna,74,81,80,72,Javan Myna-37.png,224,224
Javan Myna,103,50,21,36,Javan Myna-38.png,224,224
Javan Myna,39,132,35,30,Javan Myna-39.png,224,224
Javan Myna,123,57,18,23,Javan Myna-39.png,224,224
Javan Myna,75,105,78,43,Javan Myna-4.png,224,224
Javan Myna,54,104,15,29,Javan Myna-40.png,224,224
Javan Myna,102,88,14,34,Javan Myna-40.png,224,224
Javan Myna,145,80,16,29,Javan Myna-40.png,224,224
Javan Myna,79,99,74,64,Javan Myna-41.png,224,224
Javan Myna,80,61,91,146,Javan Myna-42.png,224,224
Javan Myna,112,19,65,59,Javan Myna-43.png,224,224
Javan Myna,40,123,84,85,Javan Myna-43.png,224,224
Javan Myna,40,65,130,91,Javan Myna-44.png,224,224
Javan Myna,90,78,53,52,Javan Myna-45.png,224,224
Javan Myna,80,47,144,125,Javan Myna-46.png,224,224
Javan Myna,74,46,97,127,Javan Myna-47.png,224,224
Javan Myna,79,66,84,99,Javan Myna-48.png,224,224
Javan Myna,90,119,17,31,Javan Myna-49.png,224,224
Javan Myna,39,0,6,11,Javan Myna-49.png,224,224
Javan Myna,88,86,40,43,Javan Myna-5.png,224,224
Javan Myna,154,118,44,42,Javan Myna-5.png,224,224
