label,top_left_x,top_left_y,width,height,image_name,image_width,image_height
Olive-backed Sunbird,51,84,85,69,Olive-backed Sunbird-0.png,224,224
Olive-backed Sunbird,38,68,151,83,Olive-backed Sunbird-1.png,224,224
Olive-backed Sunbird,76,84,74,61,Olive-backed Sunbird-10.png,224,224
Olive-backed Sunbird,52,92,125,51,Olive-backed Sunbird-101.png,224,224
Olive-backed Sunbird,0,58,224,121,Olive-backed Sunbird-104.png,224,224
Olive-backed Sunbird,88,133,24,35,Olive-backed Sunbird-106.png,224,224
Olive-backed Sunbird,80,34,126,181,Olive-backed Sunbird-107.png,224,224
Olive-backed Sunbird,70,16,110,159,Olive-backed Sunbird-108.png,224,224
Olive-backed Sunbird,104,63,24,30,Olive-backed Sunbird-109.png,224,224
Olive-backed Sunbird,57,48,103,97,Olive-backed Sunbird-11.png,224,224
Olive-backed Sunbird,39,62,166,116,Olive-backed Sunbird-110.png,224,224
Olive-backed Sunbird,0,23,197,190,Olive-backed Sunbird-112.png,224,224
Olive-backed Sunbird,45,89,74,45,Olive-backed Sunbird-114.png,224,224
Olive-backed Sunbird,63,97,78,38,Olive-backed Sunbird-115.png,224,224
Olive-backed Sunbird,99,120,27,15,Olive-backed Sunbird-116.png,224,224
Olive-backed Sunbird,59,56,165,137,Olive-backed Sunbird-118.png,224,224
Olive-backed Sunbird,14,19,197,196,Olive-backed Sunbird-119.png,224,224
Olive-backed Sunbird,90,76,44,115,Olive-backed Sunbird-120.png,224,224
Olive-backed Sunbird,107,86,37,20,Olive-backed Sunbird-122.png,224,224
Olive-backed Sunbird,53,52,111,138,Olive-backed Sunbird-124.png,224,224
Olive-backed Sunbird,73,92,57,25,Olive-backed Sunbird-125.png,224,224
Olive-backed Sunbird,39,31,129,186,Olive-backed Sunbird-126.png,224,224
Olive-backed Sunbird,71,62,105,162,Olive-backed Sunbird-127.png,224,224
Olive-backed Sunbird,83,105,22,28,Olive-backed Sunbird-128.png,224,224
Olive-backed Sunbird,22,28,190,180,Olive-backed Sunbird-129.png,224,224
Olive-backed Sunbird,54,82,93,42,Olive-backed Sunbird-13.png,224,224
Olive-backed Sunbird,21,16,187,193,Olive-backed Sunbird-132.png,224,224
Olive-backed Sunbird,67,40,78,155,Olive-backed Sunbird-133.png,224,224
Olive-backed Sunbird,91,108,61,24,Olive-backed Sunbird-135.png,224,224
Olive-backed Sunbird,140,74,51,98,Olive-backed Sunbird-14.png,224,224
Olive-backed Sunbird,70,81,103,57,Olive-backed Sunbird-15.png,224,224
Olive-backed Sunbird,84,101,36,38,Olive-backed Sunbird-16.png,224,224
Olive-backed Sunbird,90,94,63,25,Olive-backed Sunbird-17.png,224,224
Olive-backed Sunbird,72,93,26,12,Olive-backed Sunbird-18.png,224,224
Olive-backed Sunbird,67,77,115,82,Olive-backed Sunbird-19.png,224,224
Olive-backed Sunbird,55,64,104,70,Olive-backed Sunbird-2.png,224,224
Olive-backed Sunbird,8,45,211,142,Olive-backed Sunbird-20.png,224,224
Olive-backed Sunbird,91,49,63,83,Olive-backed Sunbird-21.png,224,224
Olive-backed Sunbird,51,63,24,34,Olive-backed Sunbird-23.png,224,224
Olive-backed Sunbird,105,97,22,52,Olive-backed Sunbird-24.png,224,224
Olive-backed Sunbird,69,59,21,60,Olive-backed Sunbird-25.png,224,224
Olive-backed Sunbird,78,107,58,34,Olive-backed Sunbird-26.png,224,224
Olive-backed Sunbird,13,55,141,77,Olive-backed Sunbird-27.png,224,224
Olive-backed Sunbird,49,68,115,102,Olive-backed Sunbird-28.png,224,224
Olive-backed Sunbird,59,40,122,70,Olive-backed Sunbird-29.png,224,224
Olive-backed Sunbird,24,56,181,147,Olive-backed Sunbird-3.png,224,224
Olive-backed Sunbird,103,57,75,63,Olive-backed Sunbird-30.png,224,224
Olive-backed Sunbird,136,69,27,56,Olive-backed Sunbird-34.png,224,224
Olive-backed Sunbird,103,66,61,74,Olive-backed Sunbird-35.png,224,224
Olive-backed Sunbird,50,42,157,135,Olive-backed Sunbird-37.png,224,224
Olive-backed Sunbird,72,75,110,103,Olive-backed Sunbird-38.png,224,224
Olive-backed Sunbird,59,42,64,123,Olive-backed Sunbird-40.png,224,224
Olive-backed Sunbird,63,49,155,166,Olive-backed Sunbird-41.png,224,224
Olive-backed Sunbird,133,99,55,114,Olive-backed Sunbird-42.png,224,224
Olive-backed Sunbird,65,54,51,59,Olive-backed Sunbird-43.png,224,224
Olive-backed Sunbird,94,76,26,39,Olive-backed Sunbird-45.png,224,224
Olive-backed Sunbird,14,99,148,75,Olive-backed Sunbird-46.png,224,224
Olive-backed Sunbird,89,61,58,102,Olive-backed Sunbird-47.png,224,224
Olive-backed Sunbird,90,90,95,95,Olive-backed Sunbird-48.png,224,224
Olive-backed Sunbird,93,92,44,54,Olive-backed Sunbird-50.png,224,224
Olive-backed Sunbird,54,89,95,59,Olive-backed Sunbird-51.png,224,224
Olive-backed Sunbird,97,105,60,43,Olive-backed Sunbird-52.png,224,224
Olive-backed Sunbird,53,19,99,66,Olive-backed Sunbird-54.png,224,224
Olive-backed Sunbird,35,40,179,151,Olive-backed Sunbird-57.png,224,224
Olive-backed Sunbird,18,50,163,92,Olive-backed Sunbird-58.png,224,224
Olive-backed Sunbird,96,116,23,48,Olive-backed Sunbird-6.png,224,224
Olive-backed Sunbird,77,40,91,159,Olive-backed Sunbird-60.png,224,224
Olive-backed Sunbird,45,80,80,102,Olive-backed Sunbird-64.png,224,224
Olive-backed Sunbird,37,66,158,117,Olive-backed Sunbird-65.png,224,224
Olive-backed Sunbird,15,31,207,168,Olive-backed Sunbird-66.png,224,224
Olive-backed Sunbird,99,91,73,45,Olive-backed Sunbird-67.png,224,224
Olive-backed Sunbird,51,74,148,93,Olive-backed Sunbird-68.png,224,224
Olive-backed Sunbird,65,92,76,33,Olive-backed Sunbird-69.png,224,224
Olive-backed Sunbird,67,62,77,90,Olive-backed Sunbird-70.png,224,224
Olive-backed Sunbird,73,107,32,29,Olive-backed Sunbird-74.png,224,224
Olive-backed Sunbird,37,94,99,75,Olive-backed Sunbird-76.png,224,224
Olive-backed Sunbird,89,95,24,27,Olive-backed Sunbird-77.png,224,224
Olive-backed Sunbird,92,100,51,21,Olive-backed Sunbird-79.png,224,224
Olive-backed Sunbird,98,94,23,29,Olive-backed Sunbird-80.png,224,224
Olive-backed Sunbird,117,85,39,87,Olive-backed Sunbird-81.png,224,224
Olive-backed Sunbird,80,78,66,52,Olive-backed Sunbird-82.png,224,224
Olive-backed Sunbird,43,44,169,137,Olive-backed Sunbird-84.png,224,224
Olive-backed Sunbird,70,102,90,56,Olive-backed Sunbird-85.png,224,224
Olive-backed Sunbird,32,0,108,146,Olive-backed Sunbird-86.png,224,224
Olive-backed Sunbird,0,57,167,130,Olive-backed Sunbird-87.png,224,224
Olive-backed Sunbird,71,69,143,99,Olive-backed Sunbird-88.png,224,224
Olive-backed Sunbird,125,80,44,38,Olive-backed Sunbird-89.png,224,224
Olive-backed Sunbird,80,51,67,78,Olive-backed Sunbird-9.png,224,224
Olive-backed Sunbird,66,89,66,55,Olive-backed Sunbird-90.png,224,224
Olive-backed Sunbird,92,95,42,18,Olive-backed Sunbird-92.png,224,224
Olive-backed Sunbird,25,45,154,140,Olive-backed Sunbird-93.png,224,224
Olive-backed Sunbird,82,87,49,47,Olive-backed Sunbird-94.png,224,224
Olive-backed Sunbird,95,90,74,54,Olive-backed Sunbird-95.png,224,224
Olive-backed Sunbird,88,96,28,29,Olive-backed Sunbird-96.png,224,224
Olive-backed Sunbird,18,11,184,130,Olive-backed Sunbird-97.png,224,224
Olive-backed Sunbird,79,99,97,53,Olive-backed Sunbird-98.png,224,224
Olive-backed Sunbird,22,46,166,145,Olive-backed Sunbird-99.png,224,224
Olive-backed Sunbird,75,62,63,143,Olive-backed Sunbird-148.png,224,224
Olive-backed Sunbird,85,62,59,80,Olive-backed Sunbird-149.png,224,224
Olive-backed Sunbird,105,96,29,59,Olive-backed Sunbird-147.png,224,224
