label,top_left_x,top_left_y,width,height,image_name,image_width,image_height
Pink-necked Green Pigeon,149,110,23,22,Pink-necked Green Pigeon-0.png,224,224
Pink-necked Green Pigeon,66,130,29,29,Pink-necked Green Pigeon-0.png,224,224
Pink-necked Green Pigeon,68,17,75,190,Pink-necked Green Pigeon-1.png,224,224
Pink-necked Green Pigeon,39,68,62,91,Pink-necked Green Pigeon-10.png,224,224
Pink-necked Green Pigeon,59,40,117,144,Pink-necked Green Pigeon-100.png,224,224
Pink-necked Green Pigeon,73,71,49,57,Pink-necked Green Pigeon-102.png,224,224
Pink-necked Green Pigeon,27,66,160,73,Pink-necked Green Pigeon-103.png,224,224
Pink-necked Green Pigeon,88,38,76,163,Pink-necked Green Pigeon-104.png,224,224
Pink-necked Green Pigeon,94,78,42,34,Pink-necked Green Pigeon-108.png,224,224
Pink-necked Green Pigeon,7,45,55,63,Pink-necked Green Pigeon-109.png,224,224
Pink-necked Green Pigeon,142,88,55,68,Pink-necked Green Pigeon-109.png,224,224
Pink-necked Green Pigeon,94,90,27,55,Pink-necked Green Pigeon-11.png,224,224
Pink-necked Green Pigeon,56,70,52,109,Pink-necked Green Pigeon-110.png,224,224
Pink-necked Green Pigeon,95,88,29,64,Pink-necked Green Pigeon-111.png,224,224
Pink-necked Green Pigeon,73,5,106,108,Pink-necked Green Pigeon-112.png,224,224
Pink-necked Green Pigeon,12,31,212,160,Pink-necked Green Pigeon-114.png,224,224
Pink-necked Green Pigeon,50,80,90,133,Pink-necked Green Pigeon-115.png,224,224
Pink-necked Green Pigeon,89,99,134,68,Pink-necked Green Pigeon-116.png,224,224
Pink-necked Green Pigeon,56,54,147,134,Pink-necked Green Pigeon-117.png,224,224
Pink-necked Green Pigeon,72,77,85,88,Pink-necked Green Pigeon-118.png,224,224
Pink-necked Green Pigeon,86,43,65,104,Pink-necked Green Pigeon-119.png,224,224
Pink-necked Green Pigeon,0,44,176,109,Pink-necked Green Pigeon-12.png,224,224
Pink-necked Green Pigeon,56,97,70,47,Pink-necked Green Pigeon-121.png,224,224
Pink-necked Green Pigeon,84,78,77,70,Pink-necked Green Pigeon-122.png,224,224
Pink-necked Green Pigeon,83,106,57,31,Pink-necked Green Pigeon-14.png,224,224
Pink-necked Green Pigeon,0,78,221,106,Pink-necked Green Pigeon-15.png,224,224
Pink-necked Green Pigeon,56,80,62,59,Pink-necked Green Pigeon-17.png,224,224
Pink-necked Green Pigeon,103,101,49,48,Pink-necked Green Pigeon-18.png,224,224
Pink-necked Green Pigeon,51,96,44,112,Pink-necked Green Pigeon-2.png,224,224
Pink-necked Green Pigeon,44,81,124,85,Pink-necked Green Pigeon-22.png,224,224
Pink-necked Green Pigeon,66,119,91,60,Pink-necked Green Pigeon-23.png,224,224
Pink-necked Green Pigeon,72,75,70,149,Pink-necked Green Pigeon-24.png,224,224
Pink-necked Green Pigeon,101,146,34,45,Pink-necked Green Pigeon-25.png,224,224
Pink-necked Green Pigeon,93,93,23,19,Pink-necked Green Pigeon-26.png,224,224
Pink-necked Green Pigeon,107,122,24,21,Pink-necked Green Pigeon-26.png,224,224
Pink-necked Green Pigeon,206,158,18,19,Pink-necked Green Pigeon-26.png,224,224
Pink-necked Green Pigeon,64,36,88,117,Pink-necked Green Pigeon-27.png,224,224
Pink-necked Green Pigeon,94,87,65,81,Pink-necked Green Pigeon-28.png,224,224
Pink-necked Green Pigeon,67,45,84,96,Pink-necked Green Pigeon-29.png,224,224
Pink-necked Green Pigeon,58,59,38,51,Pink-necked Green Pigeon-3.png,224,224
Pink-necked Green Pigeon,79,95,103,75,Pink-necked Green Pigeon-30.png,224,224
Pink-necked Green Pigeon,52,68,106,86,Pink-necked Green Pigeon-32.png,224,224
Pink-necked Green Pigeon,0,68,163,121,Pink-necked Green Pigeon-34.png,224,224
Pink-necked Green Pigeon,113,86,19,24,Pink-necked Green Pigeon-35.png,224,224
Pink-necked Green Pigeon,32,91,176,110,Pink-necked Green Pigeon-36.png,224,224
Pink-necked Green Pigeon,87,61,66,89,Pink-necked Green Pigeon-37.png,224,224
Pink-necked Green Pigeon,125,60,41,79,Pink-necked Green Pigeon-37.png,224,224
Pink-necked Green Pigeon,0,99,144,76,Pink-necked Green Pigeon-38.png,224,224
Pink-necked Green Pigeon,70,77,78,81,Pink-necked Green Pigeon-39.png,224,224
Pink-necked Green Pigeon,74,91,51,32,Pink-necked Green Pigeon-4.png,224,224
Pink-necked Green Pigeon,28,64,63,69,Pink-necked Green Pigeon-41.png,224,224
Pink-necked Green Pigeon,93,101,24,20,Pink-necked Green Pigeon-42.png,224,224
Pink-necked Green Pigeon,70,10,87,214,Pink-necked Green Pigeon-43.png,224,224
Pink-necked Green Pigeon,89,95,53,39,Pink-necked Green Pigeon-45.png,224,224
Pink-necked Green Pigeon,83,99,95,79,Pink-necked Green Pigeon-46.png,224,224
Pink-necked Green Pigeon,82,67,39,68,Pink-necked Green Pigeon-47.png,224,224
Pink-necked Green Pigeon,22,38,118,152,Pink-necked Green Pigeon-49.png,224,224
Pink-necked Green Pigeon,31,29,99,167,Pink-necked Green Pigeon-5.png,224,224
Pink-necked Green Pigeon,6,46,126,150,Pink-necked Green Pigeon-50.png,224,224
Pink-necked Green Pigeon,86,33,40,63,Pink-necked Green Pigeon-51.png,224,224
Pink-necked Green Pigeon,147,51,46,53,Pink-necked Green Pigeon-52.png,224,224
Pink-necked Green Pigeon,169,101,23,30,Pink-necked Green Pigeon-53.png,224,224
Pink-necked Green Pigeon,86,131,23,39,Pink-necked Green Pigeon-53.png,224,224
Pink-necked Green Pigeon,105,113,31,67,Pink-necked Green Pigeon-53.png,224,224
Pink-necked Green Pigeon,81,87,55,45,Pink-necked Green Pigeon-54.png,224,224
Pink-necked Green Pigeon,66,107,50,63,Pink-necked Green Pigeon-55.png,224,224
Pink-necked Green Pigeon,21,74,178,87,Pink-necked Green Pigeon-56.png,224,224
Pink-necked Green Pigeon,122,117,14,18,Pink-necked Green Pigeon-57.png,224,224
Pink-necked Green Pigeon,75,77,57,77,Pink-necked Green Pigeon-58.png,224,224
Pink-necked Green Pigeon,86,87,54,65,Pink-necked Green Pigeon-59.png,224,224
Pink-necked Green Pigeon,112,57,59,57,Pink-necked Green Pigeon-59.png,224,224
Pink-necked Green Pigeon,37,31,174,158,Pink-necked Green Pigeon-6.png,224,224
Pink-necked Green Pigeon,115,57,54,114,Pink-necked Green Pigeon-61.png,224,224
Pink-necked Green Pigeon,28,70,116,83,Pink-necked Green Pigeon-63.png,224,224
Pink-necked Green Pigeon,85,70,21,28,Pink-necked Green Pigeon-64.png,224,224
Pink-necked Green Pigeon,59,50,25,63,Pink-necked Green Pigeon-65.png,224,224
Pink-necked Green Pigeon,76,77,51,56,Pink-necked Green Pigeon-66.png,224,224
Pink-necked Green Pigeon,18,11,178,204,Pink-necked Green Pigeon-67.png,224,224
Pink-necked Green Pigeon,110,66,38,51,Pink-necked Green Pigeon-68.png,224,224
Pink-necked Green Pigeon,63,40,46,27,Pink-necked Green Pigeon-68.png,224,224
Pink-necked Green Pigeon,79,85,54,65,Pink-necked Green Pigeon-7.png,224,224
Pink-necked Green Pigeon,93,99,88,72,Pink-necked Green Pigeon-70.png,224,224
Pink-necked Green Pigeon,99,93,21,48,Pink-necked Green Pigeon-71.png,224,224
Pink-necked Green Pigeon,47,33,141,184,Pink-necked Green Pigeon-72.png,224,224
Pink-necked Green Pigeon,99,81,47,58,Pink-necked Green Pigeon-73.png,224,224
Pink-necked Green Pigeon,129,41,72,67,Pink-necked Green Pigeon-74.png,224,224
Pink-necked Green Pigeon,81,102,59,79,Pink-necked Green Pigeon-76.png,224,224
Pink-necked Green Pigeon,46,0,115,175,Pink-necked Green Pigeon-77.png,224,224
Pink-necked Green Pigeon,5,55,149,137,Pink-necked Green Pigeon-78.png,224,224
Pink-necked Green Pigeon,84,47,57,116,Pink-necked Green Pigeon-79.png,224,224
Pink-necked Green Pigeon,59,64,79,92,Pink-necked Green Pigeon-8.png,224,224
Pink-necked Green Pigeon,69,88,70,92,Pink-necked Green Pigeon-81.png,224,224
Pink-necked Green Pigeon,61,33,70,87,Pink-necked Green Pigeon-82.png,224,224
Pink-necked Green Pigeon,73,154,41,49,Pink-necked Green Pigeon-83.png,224,224
Pink-necked Green Pigeon,89,151,37,34,Pink-necked Green Pigeon-83.png,224,224
Pink-necked Green Pigeon,37,71,61,58,Pink-necked Green Pigeon-84.png,224,224
Pink-necked Green Pigeon,97,85,67,52,Pink-necked Green Pigeon-84.png,224,224
Pink-necked Green Pigeon,101,100,14,13,Pink-necked Green Pigeon-86.png,224,224
Pink-necked Green Pigeon,64,70,93,91,Pink-necked Green Pigeon-88.png,224,224
Pink-necked Green Pigeon,2,36,200,146,Pink-necked Green Pigeon-9.png,224,224
Pink-necked Green Pigeon,71,84,82,94,Pink-necked Green Pigeon-90.png,224,224
Pink-necked Green Pigeon,0,52,219,136,Pink-necked Green Pigeon-93.png,224,224
Pink-necked Green Pigeon,88,86,38,44,Pink-necked Green Pigeon-94.png,224,224
Pink-necked Green Pigeon,27,63,130,155,Pink-necked Green Pigeon-95.png,224,224
Pink-necked Green Pigeon,89,50,36,42,Pink-necked Green Pigeon-98.png,224,224
Pink-necked Green Pigeon,93,108,87,79,Pink-necked Green Pigeon-99.png,224,224
Pink-necked Green Pigeon,94,90,39,60,Pink-necked Green Pigeon-124.png,224,224
Pink-necked Green Pigeon,81,112,55,41,Pink-necked Green Pigeon-125.png,224,224
Pink-necked Green Pigeon,98,196,59,28,Pink-necked Green Pigeon-125.png,224,224
Pink-necked Green Pigeon,47,49,103,134,Pink-necked Green Pigeon-129.png,224,224
Pink-necked Green Pigeon,62,72,62,69,Pink-necked Green Pigeon-130.png,224,224
Pink-necked Green Pigeon,66,75,145,103,Pink-necked Green Pigeon-132.png,224,224
