label,top_left_x,top_left_y,width,height,image_name,image_width,image_height
Spotted Dove,14,78,102,76,Spotted Dove-0.png,224,224
Spotted Dove,89,111,52,59,Spotted Dove-0.png,224,224
Spotted Dove,71,83,73,47,Spotted Dove-1.png,224,224
Spotted Dove,28,124,99,70,Spotted Dove-10.png,224,224
Spotted Dove,93,82,74,58,Spotted Dove-100.png,224,224
Spotted Dove,95,91,48,51,Spotted Dove-101.png,224,224
Spotted Dove,21,25,187,189,Spotted Dove-102.png,224,224
Spotted Dove,45,54,123,102,Spotted Dove-103.png,224,224
Spotted Dove,91,115,48,65,Spotted Dove-104.png,224,224
Spotted Dove,63,70,90,88,Spotted Dove-105.png,224,224
Spotted Dove,0,51,121,119,Spotted Dove-106.png,224,224
Spotted Dove,98,28,33,23,Spotted Dove-107.png,224,224
Spotted Dove,47,78,128,84,Spotted Dove-108.png,224,224
Spotted Dove,69,53,58,105,Spotted Dove-109.png,224,224
Spotted Dove,66,34,88,80,Spotted Dove-11.png,224,224
Spotted Dove,88,100,40,34,Spotted Dove-110.png,224,224
Spotted Dove,41,76,115,61,Spotted Dove-111.png,224,224
Spotted Dove,40,63,118,129,Spotted Dove-114.png,224,224
Spotted Dove,80,84,78,49,Spotted Dove-115.png,224,224
Spotted Dove,48,75,98,75,Spotted Dove-117.png,224,224
Spotted Dove,112,93,38,40,Spotted Dove-12.png,224,224
Spotted Dove,61,59,162,121,Spotted Dove-120.png,224,224
Spotted Dove,75,84,72,56,Spotted Dove-121.png,224,224
Spotted Dove,13,15,163,201,Spotted Dove-126.png,224,224
Spotted Dove,57,125,83,35,Spotted Dove-127.png,224,224
Spotted Dove,31,110,103,67,Spotted Dove-129.png,224,224
Spotted Dove,37,67,91,83,Spotted Dove-13.png,224,224
Spotted Dove,0,75,54,28,Spotted Dove-130.png,224,224
Spotted Dove,50,70,132,70,Spotted Dove-131.png,224,224
Spotted Dove,51,64,134,82,Spotted Dove-133.png,224,224
Spotted Dove,50,57,94,99,Spotted Dove-14.png,224,224
Spotted Dove,73,73,37,51,Spotted Dove-15.png,224,224
Spotted Dove,34,63,129,92,Spotted Dove-16.png,224,224
Spotted Dove,28,29,196,171,Spotted Dove-17.png,224,224
Spotted Dove,21,60,140,121,Spotted Dove-18.png,224,224
Spotted Dove,89,92,36,44,Spotted Dove-19.png,224,224
Spotted Dove,90,93,66,47,Spotted Dove-2.png,224,224
Spotted Dove,8,122,78,30,Spotted Dove-2.png,224,224
Spotted Dove,48,57,126,116,Spotted Dove-21.png,224,224
Spotted Dove,57,132,100,41,Spotted Dove-22.png,224,224
Spotted Dove,64,81,84,124,Spotted Dove-23.png,224,224
Spotted Dove,96,99,57,20,Spotted Dove-25.png,224,224
Spotted Dove,52,78,93,60,Spotted Dove-26.png,224,224
Spotted Dove,114,132,29,19,Spotted Dove-27.png,224,224
Spotted Dove,80,100,68,41,Spotted Dove-29.png,224,224
Spotted Dove,3,16,189,191,Spotted Dove-3.png,224,224
Spotted Dove,66,46,99,111,Spotted Dove-30.png,224,224
Spotted Dove,33,67,158,80,Spotted Dove-31.png,224,224
Spotted Dove,104,70,36,94,Spotted Dove-32.png,224,224
Spotted Dove,66,57,84,102,Spotted Dove-33.png,224,224
Spotted Dove,85,130,64,40,Spotted Dove-34.png,224,224
Spotted Dove,68,91,107,39,Spotted Dove-35.png,224,224
Spotted Dove,67,60,148,145,Spotted Dove-37.png,224,224
Spotted Dove,57,70,124,84,Spotted Dove-39.png,224,224
Spotted Dove,45,91,97,84,Spotted Dove-4.png,224,224
Spotted Dove,74,71,86,79,Spotted Dove-40.png,224,224
Spotted Dove,93,77,73,74,Spotted Dove-42.png,224,224
Spotted Dove,39,81,42,51,Spotted Dove-42.png,224,224
Spotted Dove,99,69,48,62,Spotted Dove-43.png,224,224
Spotted Dove,85,84,84,60,Spotted Dove-45.png,224,224
Spotted Dove,0,31,217,165,Spotted Dove-46.png,224,224
Spotted Dove,0,46,220,137,Spotted Dove-47.png,224,224
Spotted Dove,65,130,127,70,Spotted Dove-48.png,224,224
Spotted Dove,55,95,121,77,Spotted Dove-49.png,224,224
Spotted Dove,132,65,31,27,Spotted Dove-5.png,224,224
Spotted Dove,67,67,71,68,Spotted Dove-50.png,224,224
Spotted Dove,58,104,46,35,Spotted Dove-53.png,224,224
Spotted Dove,92,88,35,52,Spotted Dove-54.png,224,224
Spotted Dove,74,83,84,47,Spotted Dove-56.png,224,224
Spotted Dove,47,58,41,35,Spotted Dove-57.png,224,224
Spotted Dove,74,62,62,100,Spotted Dove-6.png,224,224
Spotted Dove,92,84,78,35,Spotted Dove-61.png,224,224
Spotted Dove,83,141,56,52,Spotted Dove-62.png,224,224
Spotted Dove,101,74,123,103,Spotted Dove-63.png,224,224
Spotted Dove,96,77,58,44,Spotted Dove-64.png,224,224
Spotted Dove,55,69,98,105,Spotted Dove-65.png,224,224
