label,top_left_x,top_left_y,width,height,image_name,image_width,image_height
Striated Heron,3,69,201,90,Striated Heron-0.png,224,224
Striated Heron,74,85,100,62,Striated Heron-1.png,224,224
Striated Heron,147,68,42,76,Striated Heron-10.png,224,224
Striated Heron,30,35,163,166,Striated Heron-100.png,224,224
Striated Heron,64,65,101,101,Striated Heron-103.png,224,224
Striated Heron,120,113,36,22,Striated Heron-105.png,224,224
Striated Heron,82,38,65,150,Striated Heron-106.png,224,224
Striated Heron,42,97,122,59,Striated Heron-107.png,224,224
Striated Heron,66,92,82,32,Striated Heron-11.png,224,224
Striated Heron,90,101,43,35,Striated Heron-112.png,224,224
Striated Heron,73,101,67,75,Striated Heron-113.png,224,224
Striated Heron,86,89,49,44,Striated Heron-114.png,224,224
Striated Heron,63,63,99,77,Striated Heron-115.png,224,224
Striated Heron,59,65,79,74,Striated Heron-116.png,224,224
Striated Heron,43,84,117,100,Striated Heron-117.png,224,224
Striated Heron,98,116,110,79,Striated Heron-119.png,224,224
Striated Heron,23,54,133,145,Striated Heron-12.png,224,224
Striated Heron,56,76,133,106,Striated Heron-121.png,224,224
Striated Heron,48,77,129,99,Striated Heron-123.png,224,224
Striated Heron,60,65,105,94,Striated Heron-124.png,224,224
Striated Heron,92,121,40,30,Striated Heron-125.png,224,224
Striated Heron,28,62,161,82,Striated Heron-128.png,224,224
Striated Heron,64,78,99,84,Striated Heron-130.png,224,224
Striated Heron,92,84,45,48,Striated Heron-131.png,224,224
Striated Heron,91,98,51,41,Striated Heron-133.png,224,224
Striated Heron,15,23,173,192,Striated Heron-134.png,224,224
Striated Heron,61,68,122,101,Striated Heron-135.png,224,224
Striated Heron,64,63,93,86,Striated Heron-136.png,224,224
Striated Heron,68,79,117,58,Striated Heron-137.png,224,224
Striated Heron,74,89,123,91,Striated Heron-138.png,224,224
Striated Heron,9,49,170,99,Striated Heron-139.png,224,224
Striated Heron,82,101,55,41,Striated Heron-14.png,224,224
Striated Heron,74,89,66,75,Striated Heron-15.png,224,224
