label,top_left_x,top_left_y,width,height,image_name,image_width,image_height
White-breasted Waterhen,94,97,37,73,White-breasted Waterhen-0.png,224,224
White-breasted Waterhen,53,72,123,46,White-breasted Waterhen-102.png,224,224
White-breasted Waterhen,79,91,57,41,White-breasted Waterhen-105.png,224,224
White-breasted Waterhen,79,75,53,54,White-breasted Waterhen-106.png,224,224
White-breasted Waterhen,61,75,80,57,White-breasted Waterhen-108.png,224,224
White-breasted Waterhen,109,101,108,47,White-breasted Waterhen-109.png,224,224
White-breasted Waterhen,79,36,72,101,White-breasted Waterhen-11.png,224,224
White-breasted Waterhen,95,126,53,68,White-breasted Waterhen-110.png,224,224
White-breasted Waterhen,15,25,209,138,White-breasted Waterhen-113.png,224,224
White-breasted Waterhen,117,96,107,70,White-breasted Waterhen-115.png,224,224
White-breasted Waterhen,90,111,53,39,White-breasted Waterhen-116.png,224,224
White-breasted Waterhen,19,55,74,73,White-breasted Waterhen-117.png,224,224
White-breasted Waterhen,86,97,73,48,White-breasted Waterhen-118.png,224,224
White-breasted Waterhen,33,84,165,76,White-breasted Waterhen-119.png,224,224
White-breasted Waterhen,55,39,117,151,White-breasted Waterhen-12.png,224,224
White-breasted Waterhen,79,89,48,74,White-breasted Waterhen-120.png,224,224
White-breasted Waterhen,46,37,125,129,White-breasted Waterhen-122.png,224,224
White-breasted Waterhen,43,94,101,65,White-breasted Waterhen-123.png,224,224
White-breasted Waterhen,77,101,147,123,White-breasted Waterhen-13.png,224,224
White-breasted Waterhen,23,93,53,54,White-breasted Waterhen-14.png,224,224
White-breasted Waterhen,76,50,130,117,White-breasted Waterhen-15.png,224,224
White-breasted Waterhen,21,51,170,152,White-breasted Waterhen-16.png,224,224
White-breasted Waterhen,6,81,141,75,White-breasted Waterhen-19.png,224,224
White-breasted Waterhen,87,69,113,80,White-breasted Waterhen-2.png,224,224
White-breasted Waterhen,66,98,65,55,White-breasted Waterhen-20.png,224,224
White-breasted Waterhen,105,101,39,27,White-breasted Waterhen-21.png,224,224
White-breasted Waterhen,88,87,54,39,White-breasted Waterhen-22.png,224,224
White-breasted Waterhen,83,100,66,105,White-breasted Waterhen-23.png,224,224
White-breasted Waterhen,66,88,97,56,White-breasted Waterhen-24.png,224,224
White-breasted Waterhen,50,29,127,171,White-breasted Waterhen-25.png,224,224
White-breasted Waterhen,109,87,29,19,White-breasted Waterhen-26.png,224,224
White-breasted Waterhen,77,51,91,79,White-breasted Waterhen-27.png,224,224
White-breasted Waterhen,43,60,104,72,White-breasted Waterhen-28.png,224,224
White-breasted Waterhen,111,103,48,51,White-breasted Waterhen-30.png,224,224
White-breasted Waterhen,58,67,107,73,White-breasted Waterhen-31.png,224,224
White-breasted Waterhen,80,103,67,57,White-breasted Waterhen-33.png,224,224
White-breasted Waterhen,96,83,79,107,White-breasted Waterhen-34.png,224,224
White-breasted Waterhen,98,83,77,59,White-breasted Waterhen-35.png,224,224
White-breasted Waterhen,32,41,192,115,White-breasted Waterhen-37.png,224,224
White-breasted Waterhen,82,108,112,116,White-breasted Waterhen-38.png,224,224
White-breasted Waterhen,104,114,23,16,White-breasted Waterhen-39.png,224,224
White-breasted Waterhen,91,48,111,44,White-breasted Waterhen-4.png,224,224
White-breasted Waterhen,59,105,49,51,White-breasted Waterhen-40.png,224,224
White-breasted Waterhen,47,78,115,59,White-breasted Waterhen-42.png,224,224
White-breasted Waterhen,111,83,112,115,White-breasted Waterhen-44.png,224,224
White-breasted Waterhen,21,31,189,170,White-breasted Waterhen-45.png,224,224
White-breasted Waterhen,42,128,26,29,White-breasted Waterhen-46.png,224,224
White-breasted Waterhen,28,90,58,104,White-breasted Waterhen-47.png,224,224
White-breasted Waterhen,114,153,29,23,White-breasted Waterhen-48.png,224,224
White-breasted Waterhen,85,179,28,17,White-breasted Waterhen-48.png,224,224
White-breasted Waterhen,83,73,66,75,White-breasted Waterhen-5.png,224,224
White-breasted Waterhen,153,93,60,90,White-breasted Waterhen-50.png,224,224
White-breasted Waterhen,108,105,33,38,White-breasted Waterhen-51.png,224,224
White-breasted Waterhen,74,72,51,41,White-breasted Waterhen-52.png,224,224
White-breasted Waterhen,87,51,64,52,White-breasted Waterhen-53.png,224,224
White-breasted Waterhen,69,76,70,67,White-breasted Waterhen-54.png,224,224
White-breasted Waterhen,6,69,148,143,White-breasted Waterhen-55.png,224,224
White-breasted Waterhen,104,94,32,30,White-breasted Waterhen-58.png,224,224
White-breasted Waterhen,53,69,89,97,White-breasted Waterhen-59.png,224,224
White-breasted Waterhen,57,54,133,123,White-breasted Waterhen-6.png,224,224
White-breasted Waterhen,86,125,24,20,White-breasted Waterhen-61.png,224,224
White-breasted Waterhen,72,127,21,20,White-breasted Waterhen-61.png,224,224
