label,top_left_x,top_left_y,width,height,image_name,image_width,image_height
Yellow-vented Bulbul,84,104,24,60,Yellow-vented Bulbul-0.png,224,224
Yellow-vented Bulbul,131,86,29,53,Yellow-vented Bulbul-0.png,224,224
Yellow-vented Bulbul,73,41,49,52,Yellow-vented Bulbul-10.png,224,224
Yellow-vented Bulbul,65,109,36,54,Yellow-vented Bulbul-100.png,224,224
Yellow-vented Bulbul,52,22,129,167,Yellow-vented Bulbul-101.png,224,224
Yellow-vented Bulbul,77,72,49,43,Yellow-vented Bulbul-102.png,224,224
Yellow-vented Bulbul,118,116,50,64,Yellow-vented Bulbul-103.png,224,224
Yellow-vented Bulbul,93,95,31,41,Yellow-vented Bulbul-105.png,224,224
Yellow-vented Bulbul,5,35,129,135,Yellow-vented Bulbul-107.png,224,224
Yellow-vented Bulbul,72,48,24,64,Yellow-vented Bulbul-108.png,224,224
Yellow-vented Bulbul,71,98,53,69,Yellow-vented Bulbul-110.png,224,224
Yellow-vented Bulbul,105,82,54,66,Yellow-vented Bulbul-111.png,224,224
Yellow-vented Bulbul,44,26,139,172,Yellow-vented Bulbul-112.png,224,224
Yellow-vented Bulbul,24,71,81,72,Yellow-vented Bulbul-113.png,224,224
Yellow-vented Bulbul,88,61,37,87,Yellow-vented Bulbul-114.png,224,224
Yellow-vented Bulbul,123,63,50,118,Yellow-vented Bulbul-115.png,224,224
Yellow-vented Bulbul,48,81,51,97,Yellow-vented Bulbul-116.png,224,224
Yellow-vented Bulbul,64,60,103,117,Yellow-vented Bulbul-117.png,224,224
Yellow-vented Bulbul,115,18,72,180,Yellow-vented Bulbul-118.png,224,224
Yellow-vented Bulbul,34,51,61,164,Yellow-vented Bulbul-118.png,224,224
Yellow-vented Bulbul,97,69,31,70,Yellow-vented Bulbul-12.png,224,224
Yellow-vented Bulbul,99,59,50,85,Yellow-vented Bulbul-125.png,224,224
Yellow-vented Bulbul,58,30,125,159,Yellow-vented Bulbul-126.png,224,224
Yellow-vented Bulbul,103,73,121,103,Yellow-vented Bulbul-127.png,224,224
Yellow-vented Bulbul,73,47,80,119,Yellow-vented Bulbul-128.png,224,224
Yellow-vented Bulbul,81,30,64,181,Yellow-vented Bulbul-13.png,224,224
Yellow-vented Bulbul,102,66,121,134,Yellow-vented Bulbul-131.png,224,224
Yellow-vented Bulbul,31,29,173,194,Yellow-vented Bulbul-15.png,224,224
Yellow-vented Bulbul,127,40,43,46,Yellow-vented Bulbul-16.png,224,224
Yellow-vented Bulbul,100,68,32,65,Yellow-vented Bulbul-17.png,224,224
Yellow-vented Bulbul,39,79,78,116,Yellow-vented Bulbul-18.png,224,224
Yellow-vented Bulbul,138,82,64,125,Yellow-vented Bulbul-18.png,224,224
Yellow-vented Bulbul,110,91,22,32,Yellow-vented Bulbul-2.png,224,224
Yellow-vented Bulbul,66,83,83,135,Yellow-vented Bulbul-20.png,224,224
Yellow-vented Bulbul,111,80,23,35,Yellow-vented Bulbul-22.png,224,224
Yellow-vented Bulbul,72,10,55,121,Yellow-vented Bulbul-23.png,224,224
Yellow-vented Bulbul,91,66,23,34,Yellow-vented Bulbul-24.png,224,224
Yellow-vented Bulbul,76,45,89,162,Yellow-vented Bulbul-25.png,224,224
Yellow-vented Bulbul,104,106,25,63,Yellow-vented Bulbul-26.png,224,224
Yellow-vented Bulbul,49,20,143,186,Yellow-vented Bulbul-27.png,224,224
Yellow-vented Bulbul,140,113,41,29,Yellow-vented Bulbul-28.png,224,224
Yellow-vented Bulbul,73,83,73,56,Yellow-vented Bulbul-29.png,224,224
Yellow-vented Bulbul,89,52,101,148,Yellow-vented Bulbul-3.png,224,224
Yellow-vented Bulbul,101,79,33,54,Yellow-vented Bulbul-30.png,224,224
Yellow-vented Bulbul,95,60,73,99,Yellow-vented Bulbul-31.png,224,224
Yellow-vented Bulbul,43,103,43,84,Yellow-vented Bulbul-31.png,224,224
Yellow-vented Bulbul,106,57,59,132,Yellow-vented Bulbul-32.png,224,224
Yellow-vented Bulbul,162,114,27,30,Yellow-vented Bulbul-33.png,224,224
Yellow-vented Bulbul,115,78,44,44,Yellow-vented Bulbul-35.png,224,224
Yellow-vented Bulbul,44,117,96,44,Yellow-vented Bulbul-35.png,224,224
Yellow-vented Bulbul,76,64,71,96,Yellow-vented Bulbul-36.png,224,224
Yellow-vented Bulbul,25,115,120,92,Yellow-vented Bulbul-38.png,224,224
Yellow-vented Bulbul,1,48,194,104,Yellow-vented Bulbul-39.png,224,224
Yellow-vented Bulbul,78,86,109,43,Yellow-vented Bulbul-4.png,224,224
Yellow-vented Bulbul,97,76,68,63,Yellow-vented Bulbul-43.png,224,224
Yellow-vented Bulbul,103,129,34,21,Yellow-vented Bulbul-44.png,224,224
Yellow-vented Bulbul,65,35,46,80,Yellow-vented Bulbul-45.png,224,224
Yellow-vented Bulbul,93,105,55,42,Yellow-vented Bulbul-46.png,224,224
Yellow-vented Bulbul,120,91,57,80,Yellow-vented Bulbul-47.png,224,224
Yellow-vented Bulbul,66,97,94,48,Yellow-vented Bulbul-48.png,224,224
Yellow-vented Bulbul,75,86,22,33,Yellow-vented Bulbul-5.png,224,224
Yellow-vented Bulbul,126,156,64,26,Yellow-vented Bulbul-5.png,224,224
Yellow-vented Bulbul,87,77,53,80,Yellow-vented Bulbul-50.png,224,224
Yellow-vented Bulbul,87,75,61,97,Yellow-vented Bulbul-51.png,224,224
Yellow-vented Bulbul,71,90,38,73,Yellow-vented Bulbul-52.png,224,224
Yellow-vented Bulbul,101,75,75,85,Yellow-vented Bulbul-52.png,224,224
Yellow-vented Bulbul,55,66,53,99,Yellow-vented Bulbul-53.png,224,224
Yellow-vented Bulbul,61,32,112,175,Yellow-vented Bulbul-54.png,224,224
Yellow-vented Bulbul,30,57,113,100,Yellow-vented Bulbul-55.png,224,224
Yellow-vented Bulbul,83,102,64,107,Yellow-vented Bulbul-58.png,224,224
Yellow-vented Bulbul,49,18,120,182,Yellow-vented Bulbul-59.png,224,224
Yellow-vented Bulbul,76,94,32,70,Yellow-vented Bulbul-6.png,224,224
Yellow-vented Bulbul,86,76,69,74,Yellow-vented Bulbul-60.png,224,224
Yellow-vented Bulbul,74,62,117,132,Yellow-vented Bulbul-62.png,224,224
Yellow-vented Bulbul,77,103,29,52,Yellow-vented Bulbul-63.png,224,224
Yellow-vented Bulbul,58,104,72,69,Yellow-vented Bulbul-64.png,224,224
Yellow-vented Bulbul,115,88,38,37,Yellow-vented Bulbul-65.png,224,224
Yellow-vented Bulbul,78,97,36,57,Yellow-vented Bulbul-66.png,224,224
Yellow-vented Bulbul,76,73,26,38,Yellow-vented Bulbul-68.png,224,224
Yellow-vented Bulbul,43,68,113,112,Yellow-vented Bulbul-69.png,224,224
Yellow-vented Bulbul,88,69,25,85,Yellow-vented Bulbul-70.png,224,224
Yellow-vented Bulbul,102,96,29,35,Yellow-vented Bulbul-72.png,224,224
Yellow-vented Bulbul,8,65,133,114,Yellow-vented Bulbul-76.png,224,224
Yellow-vented Bulbul,88,91,42,44,Yellow-vented Bulbul-77.png,224,224
Yellow-vented Bulbul,100,57,29,54,Yellow-vented Bulbul-78.png,224,224
Yellow-vented Bulbul,43,32,75,141,Yellow-vented Bulbul-79.png,224,224
Yellow-vented Bulbul,16,23,162,199,Yellow-vented Bulbul-80.png,224,224
Yellow-vented Bulbul,134,74,40,75,Yellow-vented Bulbul-81.png,224,224
Yellow-vented Bulbul,89,95,57,20,Yellow-vented Bulbul-83.png,224,224
Yellow-vented Bulbul,75,67,62,44,Yellow-vented Bulbul-84.png,224,224
Yellow-vented Bulbul,101,47,103,161,Yellow-vented Bulbul-85.png,224,224
Yellow-vented Bulbul,72,81,96,81,Yellow-vented Bulbul-87.png,224,224
Yellow-vented Bulbul,59,81,69,54,Yellow-vented Bulbul-89.png,224,224
Yellow-vented Bulbul,87,94,50,48,Yellow-vented Bulbul-9.png,224,224
Yellow-vented Bulbul,107,63,42,60,Yellow-vented Bulbul-90.png,224,224
Yellow-vented Bulbul,81,40,62,166,Yellow-vented Bulbul-91.png,224,224
Yellow-vented Bulbul,0,27,201,138,Yellow-vented Bulbul-92.png,224,224
Yellow-vented Bulbul,93,68,23,53,Yellow-vented Bulbul-93.png,224,224
Yellow-vented Bulbul,40,88,48,37,Yellow-vented Bulbul-93.png,224,224
Yellow-vented Bulbul,106,80,31,20,Yellow-vented Bulbul-94.png,224,224
Yellow-vented Bulbul,0,140,92,59,Yellow-vented Bulbul-95.png,224,224
Yellow-vented Bulbul,86,30,130,70,Yellow-vented Bulbul-95.png,224,224
Yellow-vented Bulbul,76,81,61,87,Yellow-vented Bulbul-96.png,224,224
Yellow-vented Bulbul,104,83,34,43,Yellow-vented Bulbul-97.png,224,224
Yellow-vented Bulbul,96,89,54,67,Yellow-vented Bulbul-98.png,224,224
Yellow-vented Bulbul,89,72,62,108,Yellow-vented Bulbul-99.png,224,224
Yellow-vented Bulbul,76,71,68,93,Yellow-vented Bulbul-132.png,224,224
Yellow-vented Bulbul,92,83,57,35,Yellow-vented Bulbul-135.png,224,224
