,index,id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
0,269,67614078,Tue Jan 05 2021 16:38:21 GMT+0800 (GMT+8),2021-01-05,2021-01-05 08:38:21 UTC,Singapore,579540,g33k5p34k,2021-01-05 11:33:14 UTC,2021-01-05 12:24:47 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/67614078,https://inaturalist-open-data.s3.amazonaws.com/photos/109286183/medium.jpg,,,,1,0,False,3.0,"Marina Coastal Expressway, Singapore, Singapore, SG",1.2841100611,103.8780734101,24.0,,,,24.0,,open,False,,,Black-naped Oriole,Oriolus chinensis,Black-naped Oriole,Aves,7867
1,421,80554982,2021/05/27 4:51 PM UTC,2021-05-27,2021-05-27 16:51:00 UTC,UTC,4945444,sadhikavikrambhat,2021-05-28 02:19:51 UTC,2021-05-28 14:41:37 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/80554982,https://inaturalist-open-data.s3.amazonaws.com/photos/132042433/medium.jpg,,,,2,0,False,,"Tampines, Singapore",1.3550388889,103.9598527778,,,,,,,open,False,,,Black-naped Oriole,Oriolus chinensis,Black-naped Oriole,Aves,7867
2,480,87966127,2021/07/21 2:00 AM UTC,2021-07-21,2021-07-21 02:00:00 UTC,UTC,4945444,sadhikavikrambhat,2021-07-21 08:54:38 UTC,2021-07-24 13:49:06 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/87966127,https://inaturalist-open-data.s3.amazonaws.com/photos/145087897/medium.jpeg,,,,2,0,False,,Singapore,1.35611,103.959816,216.0,,,,216.0,,open,False,,,Black-naped Oriole,Oriolus chinensis,Black-naped Oriole,Aves,7867
3,613,100915591,2021-11-12,2021-11-12,,UTC,5178686,e0425397noelle21,2021-11-12 08:48:49 UTC,2021-11-14 16:33:39 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/100915591,https://inaturalist-open-data.s3.amazonaws.com/photos/168481343/medium.jpeg,,,Indeterminate sex. This adult individual has golden-yellow plumage with a broad black band that goes through the eyes to the nape - hence the name. It's wings and tail are mostly black but are tipped with yellow. It's beak is dark pink. ,12,0,False,2.0,"Tanglin, Singapore",1.3096702894,103.8164881244,228.0,,,,228.0,,open,False,,,Black-naped Oriole,Oriolus chinensis,Black-naped Oriole,Aves,7867
4,371,73192441,2021-04-07 3:55:40 PM GMT+08:00,2021-04-07,2021-04-07 07:55:40 UTC,Perth,4063353,gavin_n,2021-04-07 12:39:53 UTC,2021-12-26 05:24:45 UTC,research,CC0,https://www.inaturalist.org/observations/73192441,https://static.inaturalist.org/photos/119467310/medium.jpeg,,,Juvenile black-naped oriole begging for food,2,0,False,2.0,"Jurong East, Singapore",1.3368997222,103.7271997222,,,,,,,open,False,gps,gps,Black-naped Oriole,Oriolus chinensis,Black-naped Oriole,Aves,7867
5,608,100842784,2021-11-10 12:09:26,2021-11-10,2021-11-10 04:09:26 UTC,Singapore,162339,sohkamyung,2021-11-11 10:37:33 UTC,2021-11-12 15:38:08 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/100842784,https://inaturalist-open-data.s3.amazonaws.com/photos/168350142/medium.jpeg,,,,2,0,False,2.0,"Hougang, Singapore",1.3620704293,103.889391236,32.0,,,,32.0,,open,False,gps,gps,Black-naped Oriole,Oriolus chinensis,Black-naped Oriole,Aves,7867
6,689,104402084,2022-01-01 17:26:54,2022-01-01,2022-01-01 09:26:54 UTC,Singapore,4826141,grass_0,2022-01-05 12:05:21 UTC,2022-01-05 13:16:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/104402084,https://inaturalist-open-data.s3.amazonaws.com/photos/174928988/medium.jpeg,https://static.inaturalist.org/sounds/343407.m4a?1641384342,,,2,0,False,2.0,Sungei Buloh Wetland Reserve,1.4480392038,103.7245443463,1951.0,,,,1951.0,,open,False,gps,gps,Black-naped Oriole,Oriolus chinensis,Black-naped Oriole,Aves,7867
7,104,53711767,2020-07-20 6:15:57 PM GMT+08:00,2020-07-20,2020-07-20 10:15:57 UTC,Singapore,162339,sohkamyung,2020-07-20 10:49:34 UTC,2020-07-20 15:26:11 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/53711767,https://inaturalist-open-data.s3.amazonaws.com/photos/85441196/medium.jpg,,,,3,0,False,2.0,"Blk 22, Singapore",1.3636939722,103.890089,,,,,,,open,False,gps,gps,Black-naped Oriole,Oriolus chinensis,Black-naped Oriole,Aves,7867
8,146,58605602,2020/07/25 8:16 AM +0800,2020-07-25,2020-07-25 00:16:00 UTC,Singapore,47594,kokhuitan,2020-09-05 15:14:24 UTC,2020-09-28 14:18:28 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/58605602,https://inaturalist-open-data.s3.amazonaws.com/photos/93578620/medium.jpg,,,https://singaporebirders.blogspot.com/2020/07/serangoon-25jul20.html,6,0,False,,"Sungei Serangoon, Singapore",1.3796111023,103.9040560733,1547.0,,,,1547.0,,open,False,,,Black-naped Oriole,Oriolus chinensis,Black-naped Oriole,Aves,7867
9,391,77442161,2021-05-05 6:14:01 PM GMT+08:00,2021-05-05,2021-05-05 10:14:01 UTC,Perth,4063353,gavin_n,2021-05-05 12:54:36 UTC,2021-12-26 05:24:45 UTC,research,CC0,https://www.inaturalist.org/observations/77442161,https://inaturalist-open-data.s3.amazonaws.com/photos/126652737/medium.jpeg,,,"Black naped oriole juvenile, slightly larger than a mynah
Called repeatedly to beg for food",1,0,False,2.0,"Jurong East, Singapore",1.3407574915,103.7254318222,6.0,,,,6.0,,open,False,gps,gps,Black-naped Oriole,Oriolus chinensis,Black-naped Oriole,Aves,7867
10,315,70251245,2021-02-14 2:08:54 PM GMT+08:00,2021-02-14,2021-02-14 06:08:54 UTC,Australia/Perth,4050931,e0426187jessica22,2021-02-27 14:06:24 UTC,2021-02-28 06:09:24 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/70251245,https://inaturalist-open-data.s3.amazonaws.com/photos/114165352/medium.jpeg,,,,2,0,False,2.0,"HarbourFront, Singapore",1.2668184184,103.8010070845,62.0,,,,62.0,,open,False,gps,gps,Black-naped Oriole,Oriolus chinensis,Black-naped Oriole,Aves,7867
11,662,102992539,2021/10/02 11:09 AM +0800,2021-10-02,2021-10-02 03:09:00 UTC,Singapore,2471734,ng_yu_fei,2021-12-13 13:30:01 UTC,2021-12-13 13:53:06 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/102992539,https://inaturalist-open-data.s3.amazonaws.com/photos/172278209/medium.jpeg,,,,2,0,False,,"Southern Ridges, Singapore",1.2801236128,103.8039064332,4.0,,,,4.0,,open,False,,,Black-naped Oriole,Oriolus chinensis,Black-naped Oriole,Aves,7867
12,528,93686521,2021/08/27 7:36 AM UTC,2021-08-27,2021-08-27 07:36:00 UTC,UTC,4953186,keechow,2021-09-05 07:28:48 UTC,2021-09-11 15:09:23 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/93686521,https://inaturalist-open-data.s3.amazonaws.com/photos/155312439/medium.jpg,,,low buildings,2,0,False,,"20 Clementi Ave 1, Singapore 129957",1.3071072,103.7693914,282.0,,,,282.0,,open,False,,,Black-naped Oriole,Oriolus chinensis,Black-naped Oriole,Aves,7867
13,154,59761537,2020-09-16 12:50:24 PM GMT+08:00,2020-09-16,2020-09-16 04:50:24 UTC,Singapore,162339,sohkamyung,2020-09-16 09:49:41 UTC,2020-09-16 14:09:17 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/59761537,https://inaturalist-open-data.s3.amazonaws.com/photos/95512374/medium.jpeg,,,,4,0,False,2.0,"Block 17, Singapore",1.3635349722,103.8904809722,,,,,,,open,False,gps,gps,Black-naped Oriole,Oriolus chinensis,Black-naped Oriole,Aves,7867
14,575,98945248,2021-10-22 11:25:23,2021-10-22,2021-10-22 03:25:23 UTC,Singapore,51342,big-simonchan,2021-10-22 03:46:17 UTC,2021-10-22 08:40:35 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/98945248,https://inaturalist-open-data.s3.amazonaws.com/photos/164850195/medium.jpeg,,,twrB level 5 ,2,0,False,2.0,Khoo Teck Puat Hospital,1.4247830449,103.8379970938,277.0,,,,277.0,,open,False,gps,gps,Black-naped Oriole,Oriolus chinensis,Black-naped Oriole,Aves,7867
15,671,103403774,2021-12-21 12:52:11,2021-12-21,2021-12-21 04:52:11 UTC,Singapore,162339,sohkamyung,2021-12-21 05:27:29 UTC,2021-12-21 10:46:14 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/103403774,https://inaturalist-open-data.s3.amazonaws.com/photos/173053039/medium.jpeg,,,,3,0,False,2.0,"The Tembusu, Singapore",1.3618559722,103.8901129722,,,,,,,open,False,gps,gps,Black-naped Oriole,Oriolus chinensis,Black-naped Oriole,Aves,7867
16,346,71796828,2021/02/22 12:46 PM +08,2021-02-22,2021-02-22 04:46:00 UTC,Kuala Lumpur,2501027,ericlopes,2021-03-22 13:53:37 UTC,2021-03-29 12:21:24 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/71796828,https://inaturalist-open-data.s3.amazonaws.com/photos/116948055/medium.jpg,,,,1,0,False,,Coney Island,1.4092951,103.9216496,1401.0,,,,1401.0,,open,False,gps,gps,Oriolus chinensis maculatus,Oriolus chinensis maculatus,,Aves,727259
17,260,66998964,Thu Dec 24 2020 17:19:14 GMT+0800 (GMT+8),2020-12-24,2020-12-24 09:19:14 UTC,Australia/Perth,3174592,tiark,2020-12-24 10:11:48 UTC,2020-12-24 12:08:50 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/66998964,https://inaturalist-open-data.s3.amazonaws.com/photos/108139274/medium.jpg,,,,2,0,False,3.0,"Taman Selamat, Kembangan, Singapore, SG",1.3253916667,103.9153133333,4.0,,,,4.0,,open,False,,,Black-naped Oriole,Oriolus chinensis,Black-naped Oriole,Aves,7867
18,294,69248267,2021/02/08 1:37 PM UTC,2021-02-08,2021-02-08 13:37:00 UTC,UTC,3938930,e0421636tabitha21,2021-02-08 07:36:59 UTC,2021-05-07 04:13:38 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/69248267,https://inaturalist-open-data.s3.amazonaws.com/photos/112326587/medium.jpeg,,,Was seen in a rooftop garden by itself. Is a medium sized bird with a generalist shaped pink coloured beak. Is predominantly yellow except for the black streak across its eyes and wings. ,11,0,False,,"Toa Payoh, Singapore",1.3348055556,103.8458166667,4.0,,,,4.0,,open,False,,,Black-naped Oriole,Oriolus chinensis,Black-naped Oriole,Aves,7867
19,547,95548524,2021/09/20 8:20 AM +0800,2021-09-20,2021-09-20 00:20:00 UTC,Singapore,4022718,samuel_lee,2021-09-20 16:15:25 UTC,2021-09-26 08:44:33 UTC,research,CC-BY,https://www.inaturalist.org/observations/95548524,https://inaturalist-open-data.s3.amazonaws.com/photos/158633178/medium.jpeg,,,,2,0,False,,"Marymount, Singapore",1.3583010023,103.8498858094,1.0,,,,1.0,,open,False,,,Black-naped Oriole,Oriolus chinensis,Black-naped Oriole,Aves,7867
20,300,69440403,Thu Feb 11 2021 09:33:11 GMT+0800 (GMT+8),2021-02-11,2021-02-11 01:33:11 UTC,Australia/Perth,3174592,tiark,2021-02-12 02:58:25 UTC,2021-02-12 03:16:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/69440403,https://inaturalist-open-data.s3.amazonaws.com/photos/112668627/medium.jpg,,,,1,0,False,3.0,"Taman Kembangan, Kembangan, Singapore, SG",1.3246237228,103.9147957848,22.0,,,,22.0,,open,False,,,Black-naped Oriole,Oriolus chinensis,Black-naped Oriole,Aves,7867
21,259,66812719,Sun Dec 20 2020 09:38:57 GMT+0800 (GMT+8),2020-12-20,2020-12-20 01:38:57 UTC,Singapore,1688044,nickwilde6978,2020-12-20 05:56:56 UTC,2020-12-20 09:47:52 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/66812719,https://inaturalist-open-data.s3.amazonaws.com/photos/107793296/medium.jpg,,,Seen with 3 other orioles.,2,0,False,3.0,"Jurong Lake Gardens, Singapore, Singapore, SG",1.337805,103.7262466667,,,,,,,open,False,,,Black-naped Oriole,Oriolus chinensis,Black-naped Oriole,Aves,7867
22,41,47369738,2020-05-26 9:59:27 AM GMT+08:00,2020-05-26,2020-05-26 01:59:27 UTC,Singapore,51342,big-simonchan,2020-05-26 05:06:26 UTC,2020-05-28 13:30:39 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/47369738,https://inaturalist-open-data.s3.amazonaws.com/photos/75130155/medium.jpeg,,,Foodfare,3,0,False,2.0,Khoo Teck Puat Hospital,1.4245534518,103.8381573558,526.0,,,,526.0,,open,False,gps,gps,Black-naped Oriole,Oriolus chinensis,Black-naped Oriole,Aves,7867
23,10,40474042,2020/03/21 2:16 PM SGT,2020-03-21,2020-03-21 06:16:00 UTC,Singapore,2526418,a0161852huilin20,2020-03-22 04:44:34 UTC,2020-03-22 08:12:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/40474042,https://inaturalist-open-data.s3.amazonaws.com/photos/64191082/medium.jpeg,,,,3,0,False,,"Bukit Panjang, Singapore",1.3555589851,103.7771408775,31.0,,,,31.0,,open,False,,,Black-naped Oriole,Oriolus chinensis,Black-naped Oriole,Aves,7867
24,20,44459461,2020/04/25 5:50 PM SST,2020-04-25,2020-04-25 04:50:00 UTC,Samoa,2885696,horacewhippet,2020-05-01 10:20:46 UTC,2020-05-06 10:18:28 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/44459461,https://inaturalist-open-data.s3.amazonaws.com/photos/70492428/medium.jpg,,,,4,0,False,,"Old Holland Road, Singapore",1.352083,103.819836,33607.0,,,,33607.0,,open,False,,,Black-naped Oriole,Oriolus chinensis,Black-naped Oriole,Aves,7867
25,714,105999575,2020/12/26 10:56 AM UTC,2020-12-26,2020-12-26 10:56:00 UTC,UTC,5200305,amelia_choon,2022-02-02 02:53:27 UTC,2022-02-02 06:49:35 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/105999575,https://inaturalist-open-data.s3.amazonaws.com/photos/177978826/medium.jpeg,,,,2,0,False,,"Bukit Panjang, Singapore",1.3579364096,103.771818772,1.0,,,,1.0,,open,False,,,Black-naped Oriole,Oriolus chinensis,Black-naped Oriole,Aves,7867
26,636,101502915,Fri Nov 19 2021 17:05:39 GMT+0800 (GMT+8),2021-11-19,2021-11-19 09:05:39 UTC,Beijing,4007747,phliew,2021-11-20 01:47:45 UTC,2021-11-20 02:13:39 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/101502915,https://inaturalist-open-data.s3.amazonaws.com/photos/169527275/medium.jpg,,,,2,0,False,3.0,"Hougang Primary School, Hougang, Singapore, SG",1.3775203338,103.8810697552,65.0,,,,65.0,,open,False,,,Black-naped Oriole,Oriolus chinensis,Black-naped Oriole,Aves,7867
27,89,52683008,2020/07/10 2:15 PM +0800,2020-07-10,2020-07-10 06:15:00 UTC,Singapore,651850,patricialorenz,2020-07-11 15:04:33 UTC,2020-07-14 13:24:00 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/52683008,https://inaturalist-open-data.s3.amazonaws.com/photos/83763684/medium.jpeg,,,,4,0,False,,"Siglap Park Connector, Singapore",1.3058895296,103.918982585,8.0,,,,8.0,,open,False,,,Black-naped Oriole,Oriolus chinensis,Black-naped Oriole,Aves,7867
28,97,53245541,Thu Jul 16 2020 17:23:39 GMT+0800 (GMT+8),2020-07-16,2020-07-16 09:23:39 UTC,Australia/Perth,3174592,tiark,2020-07-16 11:43:46 UTC,2020-07-31 07:49:54 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/53245541,https://inaturalist-open-data.s3.amazonaws.com/photos/84678379/medium.jpg,,,,3,0,False,3.0,"Jalan Senyum, Kembangan, Singapore, SG",1.324672934,103.9148632739,22.0,,,,22.0,,open,False,,,Black-naped Oriole,Oriolus chinensis,Black-naped Oriole,Aves,7867
29,285,68747900,Wed Jan 27 2021 10:30:34 GMT+0800 (GMT+8),2021-01-27,2021-01-27 02:30:34 UTC,Australia/Perth,3947136,e0202587sam21,2021-01-29 03:49:28 UTC,2021-02-28 14:20:27 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68747900,https://inaturalist-open-data.s3.amazonaws.com/photos/111396866/medium.jpg,,,bright yellow bird with a black stripe across the eyes to the nape and black feathers at the central rectrices. sitting on a high tree next to a body of water (the reservoir). ,9,0,False,3.0,"MacRitchie Reservoir Park, Singapore, Singapore, SG",1.341975,103.8329083333,16.0,,,,16.0,,open,False,,,Black-naped Oriole,Oriolus chinensis,Black-naped Oriole,Aves,7867
30,668,103308376,Sun Dec 19 2021 11:30:00 GMT+0800 (GMT+8),2021-12-19,2021-12-19 03:30:00 UTC,Beijing,5225272,sylphng,2021-12-19 14:57:58 UTC,2021-12-20 05:21:11 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/103308376,https://inaturalist-open-data.s3.amazonaws.com/photos/172869968/medium.jpg,,,,2,0,False,3.0,"East Sussex Lane, Holland Village, Singapore, SG",1.31239967,103.7901150938,60.0,,,,60.0,,open,False,,,Black-naped Oriole,Oriolus chinensis,Black-naped Oriole,Aves,7867
