,index,id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
0,499,107178914,2022/02/21 8:58 PM +0800,2022-02-21,2022-02-21 12:58:00 UTC,Singapore,687403,chengailim,2022-02-21 13:03:21 UTC,2022-02-22 12:37:40 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/107178914,https://inaturalist-open-data.s3.amazonaws.com/photos/180213357/medium.jpg,,,,1,0,False,,"101 Petir Rd, Singapore 678272",1.3690170062,103.7776713757,28.0,,,,28.0,,open,False,,,Brown-throated Sunbird,Anthreptes malacensis,Brown-throated Sunbird,Aves,979598
1,129,64918200,2020/11/14 11:07 AM UTC,2020-11-14,2020-11-14 11:07:00 UTC,UTC,3127160,gin_glam88,2020-11-15 07:53:09 UTC,2021-04-30 05:17:57 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/64918200,https://inaturalist-open-data.s3.amazonaws.com/photos/123770478/medium.jpeg,,,,3,0,False,,"Yuan Ching Rd, Singapore",1.3358997,103.7261741,177.0,,,,177.0,,open,False,,,Brown-throated Sunbird,Anthreptes malacensis,Brown-throated Sunbird,Aves,979598
2,123,64606117,2020/10/06 4:35 PM SST,2020-10-06,2020-10-06 02:35:00 UTC,Samoa,2885696,horacewhippet,2020-11-10 16:43:10 UTC,2020-11-15 13:35:03 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/64606117,https://inaturalist-open-data.s3.amazonaws.com/photos/103889452/medium.jpg,,,,3,0,False,,"Brizay Park, Singapore",1.3312784,103.7869509,212.0,,,,212.0,,open,False,,,Brown-throated Sunbird,Anthreptes malacensis,Brown-throated Sunbird,Aves,979598
3,387,96045740,2021/03/20 9:07 AM +0800,2021-03-20,2021-03-20 01:07:00 UTC,Singapore,4518882,fadzrun,2021-09-25 04:32:47 UTC,2021-09-26 08:47:20 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/96045740,https://inaturalist-open-data.s3.amazonaws.com/photos/159518281/medium.jpg,,,,2,0,False,,"Central Water Catchment, Singapore",1.3557760371,103.8001325412,149.0,,,,149.0,,open,False,,,Brown-throated Sunbird,Anthreptes malacensis,Brown-throated Sunbird,Aves,979598
4,0,39455027,Mon Mar 02 2020 17:42:58 GMT+0800 (GMT+8),2020-03-02,2020-03-02 09:42:58 UTC,Australia/Perth,2526418,a0161852huilin20,2020-03-02 17:06:42 UTC,2020-03-07 01:51:47 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/39455027,https://inaturalist-open-data.s3.amazonaws.com/photos/62600098/medium.jpeg,,,,2,0,False,,"Faber Park, Clementi, Singapore, SG",1.3218726939,103.7579423346,150.0,,,,150.0,,open,False,,,Brown-throated Sunbird,Anthreptes malacensis,Brown-throated Sunbird,Aves,979598
5,278,83605783,2021-06-19 09:07:28,2021-06-19,2021-06-19 01:07:28 UTC,Singapore,3701862,kurade,2021-06-19 08:10:36 UTC,2021-06-20 13:25:43 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/83605783,https://inaturalist-open-data.s3.amazonaws.com/photos/137332348/medium.jpeg,,,,2,0,False,2.0,Gardens by the Bay,1.2815682609,103.8636131957,1322.0,,,,1322.0,,open,False,gps,gps,Brown-throated Sunbird,Anthreptes malacensis,Brown-throated Sunbird,Aves,979598
6,40,51708798,2020/07/02 4:18 PM +0800,2020-07-02,2020-07-02 08:18:00 UTC,Singapore,651850,patricialorenz,2020-07-02 17:02:12 UTC,2020-07-03 12:25:55 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/51708798,https://inaturalist-open-data.s3.amazonaws.com/photos/82171726/medium.jpeg,,,male was in a second bush,3,0,False,,"Sungei Buloh Wetland Reserve, Singapore",1.4404284614,103.7353918913,19.0,,,,19.0,,open,False,,,Brown-throated Sunbird,Anthreptes malacensis,Brown-throated Sunbird,Aves,979598
7,15,45269073,2020/03/15 10:34 AM +0800,2020-03-15,2020-03-15 02:34:00 UTC,Singapore,47594,kokhuitan,2020-05-08 15:01:02 UTC,2020-06-23 13:40:25 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/45269073,https://inaturalist-open-data.s3.amazonaws.com/photos/71776209/medium.jpg,,,"female with food in mouth

https://singaporebirders.blogspot.com/2020/03/bishan-park-15mar20.html",2,0,False,,"1384 Ang Mo Kio Ave 1, Singapore",1.3634088,103.8435614,1645.0,,,,1645.0,,open,False,,,Brown-throated Sunbird,Anthreptes malacensis,Brown-throated Sunbird,Aves,979598
8,478,105997134,2020/12/25 11:50 AM UTC,2020-12-25,2020-12-25 11:50:00 UTC,UTC,5200305,amelia_choon,2022-02-02 01:59:51 UTC,2022-02-02 06:50:10 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/105997134,https://inaturalist-open-data.s3.amazonaws.com/photos/177973947/medium.jpeg,,,,3,0,False,,"Tampines, Singapore",1.3355640236,103.9653287628,15.0,,,,15.0,,open,False,,,Brown-throated Sunbird,Anthreptes malacensis,Brown-throated Sunbird,Aves,979598
9,350,93374091,2021-09-02,2021-09-02,,UTC,4609202,gunwinger,2021-09-02 16:12:11 UTC,2021-09-04 12:42:45 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/93374091,https://inaturalist-open-data.s3.amazonaws.com/photos/154751399/medium.jpeg,,,,3,0,False,2.0,"Tanglin, Singapore",1.3196377712,103.8166339695,12.0,,,,12.0,,open,False,,,Brown-throated Sunbird,Anthreptes malacensis,Brown-throated Sunbird,Aves,979598
