,index,id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
0,479,89790051,2021/08/03 2:15 PM +0800,2021-08-03,2021-08-03 06:15:00 UTC,Singapore,604276,catalinatong,2021-08-03 16:11:12 UTC,2021-08-04 14:01:32 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/89790051,https://inaturalist-open-data.s3.amazonaws.com/photos/148313983/medium.jpeg,,,,2,0,False,,Pasir Ris Park,1.378319855,103.9521636195,138.0,,,,138.0,,open,False,,,Collared Kingfisher,Todiramphus chloris,Collared Kingfisher,Aves,472078
1,87,53354016,Wed Jul 15 2020 11:37:50 GMT+0800 (GMT+8),2020-07-15,2020-07-15 03:37:50 UTC,Australia/Perth,3342422,teoce,2020-07-17 12:06:13 UTC,2020-07-18 13:14:06 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/53354016,https://inaturalist-open-data.s3.amazonaws.com/photos/84855424/medium.jpg,,,,5,0,False,3.0,,1.320599794,103.870702117,53.0,,,,31447.0,obscured,open,True,,,Collared Kingfisher,Todiramphus chloris,Collared Kingfisher,Aves,472078
2,40,47708153,Fri May 29 2020 14:52:35 GMT+0800 (GMT+8),2020-05-29,2020-05-29 06:52:35 UTC,Australia/Perth,2756214,grumpybuttinsky,2020-05-29 07:12:35 UTC,2020-05-30 14:42:54 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/47708153,https://inaturalist-open-data.s3.amazonaws.com/photos/75678799/medium.jpg,,,,4,0,False,3.0,"Sungei Ulu Pandan, Holland Village, Singapore, SG",1.30837833,103.78790333,14.0,,,,14.0,,open,False,,,Collared Kingfisher,Todiramphus chloris,Collared Kingfisher,Aves,472078
3,182,65633423,2020/11/25 4:07 PM +0800,2020-11-25,2020-11-25 08:07:00 UTC,Singapore,604276,catalinatong,2020-11-26 11:53:51 UTC,2020-12-05 10:47:20 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/65633423,https://inaturalist-open-data.s3.amazonaws.com/photos/105671448/medium.jpeg,,,,4,0,False,,"Pulau Ubin, Singapore",1.4125659,103.9577334,4212.0,,,,4212.0,,open,False,,,Collared Kingfisher,Todiramphus chloris,Collared Kingfisher,Aves,472078
4,498,92767411,2021/08/28 5:20 PM +0800,2021-08-28,2021-08-28 09:20:00 UTC,Singapore,162339,sohkamyung,2021-08-28 12:17:57 UTC,2021-08-28 14:58:36 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/92767411,https://inaturalist-open-data.s3.amazonaws.com/photos/153651550/medium.jpeg,,,,3,0,False,,"Pasir Ris, Singapore",1.377768,103.9525739722,,,,,,,open,False,,,Collared Kingfisher,Todiramphus chloris,Collared Kingfisher,Aves,472078
5,91,53573957,2020/07/18 12:21 PM +0800,2020-07-18,2020-07-18 04:21:00 UTC,Singapore,651850,patricialorenz,2020-07-19 08:56:57 UTC,2020-07-24 11:01:54 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/53573957,https://inaturalist-open-data.s3.amazonaws.com/photos/85216515/medium.jpeg,,,,5,0,False,,"Pasir Ris Park - Mangrove Boardwalk, Singapore",1.3780838889,103.9516486354,183.0,,,,183.0,,open,False,,,Collared Kingfisher,Todiramphus chloris,Collared Kingfisher,Aves,472078
6,398,81249426,2021-06-02 07:41:40,2021-06-02,2021-06-01 23:41:40 UTC,Singapore,162339,sohkamyung,2021-06-02 00:46:37 UTC,2021-06-03 14:05:06 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/81249426,https://inaturalist-open-data.s3.amazonaws.com/photos/133249154/medium.jpeg,,,,2,0,False,2.0,"Block 16, Singapore",1.363121,103.8908809722,,,,,,,open,False,gps,gps,Collared Kingfisher,Todiramphus chloris,Collared Kingfisher,Aves,472078
7,106,55488828,2020/06/09 8:41 AM +0800,2020-06-09,2020-06-09 00:41:00 UTC,Singapore,101023,plaintiger,2020-08-05 13:55:28 UTC,2020-08-06 14:52:10 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/55488828,https://inaturalist-open-data.s3.amazonaws.com/photos/88358000/medium.jpeg,,,,4,0,False,,"Bukit Batok West Ave 5, Sg",1.368048,103.750514,,,,,,,open,False,,,Collared Kingfisher,Todiramphus chloris,Collared Kingfisher,Aves,472078
8,108,55874113,2020-08-09 9:30:52 AM GMT+08:00,2020-08-09,2020-08-09 01:30:52 UTC,Singapore,162339,sohkamyung,2020-08-09 03:09:03 UTC,2020-08-09 14:20:11 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/55874113,https://inaturalist-open-data.s3.amazonaws.com/photos/88998621/medium.jpeg,,,,4,0,False,2.0,"Aft Defu Ave 1, Singapore",1.361021,103.894022,,,,,,,open,False,gps,gps,Collared Kingfisher,Todiramphus chloris,Collared Kingfisher,Aves,472078
9,254,68815413,2021/01/30 3:53 PM UTC,2021-01-30,2021-01-30 15:53:00 UTC,UTC,3945400,e0324435tzemin21,2021-01-30 18:30:26 UTC,2021-02-28 14:27:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68815413,https://inaturalist-open-data.s3.amazonaws.com/photos/111512308/medium.jpeg,,,"White patch above the lore. White collar, breast and rump. Blue crown and wings. ",8,0,False,,"Marina East, Singapore",1.2822249024,103.8756251335,31.0,,,,31.0,,open,False,,,Collared Kingfisher,Todiramphus chloris,Collared Kingfisher,Aves,472078
10,563,100237588,2021-10-30 17:22:20,2021-10-30,2021-10-30 09:22:20 UTC,Singapore,4063353,gavin_n,2021-11-04 15:09:02 UTC,2021-12-26 05:24:45 UTC,research,CC0,https://www.inaturalist.org/observations/100237588,https://inaturalist-open-data.s3.amazonaws.com/photos/167269451/medium.jpeg,,,,1,0,False,2.0,"Pasir Ris, Singapore",1.3774394526,103.9527282491,12.0,,,,12.0,,open,False,gps,gps,Collared Kingfisher,Todiramphus chloris,Collared Kingfisher,Aves,472078
