,index,id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
0,979,102522556,2021/12/05 3:25 PM UTC,2021-12-05,2021-12-05 15:25:00 UTC,UTC,4609202,gunwinger,2021-12-05 09:41:53 UTC,2021-12-05 12:23:48 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/102522556,https://inaturalist-open-data.s3.amazonaws.com/photos/171400087/medium.jpg,,,,2,0,False,,"Jurong East, Singapore",1.3382788323,103.7263538427,8.0,,,,8.0,,,False,,,Javan Myna,Acridotheres javanicus,Javan Myna,Aves,145095
1,924,100670564,Tue Nov 09 2021 09:17:23 GMT+0800 (GMT+8),2021-11-09,2021-11-09 01:17:23 UTC,Beijing,5178684,e0424872jessie21,2021-11-09 09:28:08 UTC,2021-11-14 15:48:02 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/100670564,https://inaturalist-open-data.s3.amazonaws.com/photos/168052547/medium.jpg,,,"Adult of indeterminate sex. It’s a mostly black bird with a white vent and yellow legs. It has a yellow beak and unlike the common myna, lacks a yellow patch around its eyes. It was seen foraging in an open grass field. ",14,0,False,3.0,"Jurong Lake Gardens, Singapore, Singapore, SG",1.3397604606,103.7249366674,41.0,,,,41.0,,,False,,,Javan Myna,Acridotheres javanicus,Javan Myna,Aves,145095
2,906,100132209,Tue Oct 26 2021 15:19:01 GMT+0800 (GMT+8),2021-10-26,2021-10-26 07:19:01 UTC,Beijing,4007747,phliew,2021-11-03 08:57:23 UTC,2021-11-03 09:14:21 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/100132209,https://inaturalist-open-data.s3.amazonaws.com/photos/167082823/medium.jpg,,,,2,0,False,3.0,"Hougang Primary School, Hougang, Singapore, SG",1.3775778507,103.8808150781,65.0,,,,65.0,,,False,,,Javan Myna,Acridotheres javanicus,Javan Myna,Aves,145095
3,434,69133403,Tue Feb 02 2021 12:05:00 GMT+0800 (GMT+8),2021-02-02,2021-02-02 04:05:00 UTC,Singapore,3944073,e0323879zechu21,2021-02-06 09:52:46 UTC,2021-02-14 15:02:25 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/69133403,https://inaturalist-open-data.s3.amazonaws.com/photos/112111435/medium.jpg,,,"Found near a food court. There were around five of them nearby. It has a yellow beak, yellow legs, black neck, primaries and tail. The tip of its tail is white. ",10,0,False,3.0,,1.2853678699,103.740480844,65.0,,,,31447.0,,obscured,True,,,Javan Myna,Acridotheres javanicus,Javan Myna,Aves,145095
4,836,93867444,Mon Sep 06 2021 17:49:48 GMT+0800 (GMT+8),2021-09-06,2021-09-06 09:49:48 UTC,Beijing,4876196,xiu_cheng,2021-09-06 15:55:16 UTC,2021-09-07 14:53:12 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/93867444,https://inaturalist-open-data.s3.amazonaws.com/photos/155634300/medium.jpg,,,parks ,3,0,False,3.0,,1.2876599137,103.634037359,395.0,,,,31447.0,,obscured,True,,,Javan Myna,Acridotheres javanicus,Javan Myna,Aves,145095
5,245,58253108,2020/08/28 3:28 PM +0800,2020-08-28,2020-08-28 07:28:00 UTC,Singapore,651850,patricialorenz,2020-09-01 16:17:33 UTC,2020-09-02 14:08:08 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/58253108,https://inaturalist-open-data.s3.amazonaws.com/photos/92985287/medium.jpeg,,,,5,0,False,,,1.3443664067,103.9507145253,96.0,,,,31447.0,,obscured,True,,,Javan Myna,Acridotheres javanicus,Javan Myna,Aves,145095
6,253,58790790,2020-09-07 7:29:48 AM GMT+08:00,2020-09-07,2020-09-06 23:29:48 UTC,Singapore,162339,sohkamyung,2020-09-07 00:47:39 UTC,2020-09-09 13:58:29 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/58790790,https://inaturalist-open-data.s3.amazonaws.com/photos/93884693/medium.jpeg,,,,4,0,False,2.0,,1.3702146561,103.9446170425,,,,,31447.0,,obscured,True,gps,gps,Javan Myna,Acridotheres javanicus,Javan Myna,Aves,145095
7,586,79232229,Tue May 18 2021 10:16:29 GMT+0800 (GMT+8),2021-05-18,2021-05-18 02:16:29 UTC,Perth,4385114,sanjana_,2021-05-18 02:50:04 UTC,2021-05-22 00:02:18 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/79232229,https://inaturalist-open-data.s3.amazonaws.com/photos/129758859/medium.jpg,,,,3,0,False,3.0,,1.2082815992,103.8418291606,22.0,,,,31447.0,,obscured,True,,,Javan Myna,Acridotheres javanicus,Javan Myna,Aves,145095
8,556,74791033,2021-04-22 8:03:06 AM GMT+08:00,2021-04-22,2021-04-22 00:03:06 UTC,Singapore,162339,sohkamyung,2021-04-22 00:41:46 UTC,2021-04-23 14:01:43 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/74791033,https://inaturalist-open-data.s3.amazonaws.com/photos/122282101/medium.jpeg,,,,2,0,False,2.0,,1.210010967,103.8349155539,,,,,31447.0,,obscured,True,gps,gps,Javan Myna,Acridotheres javanicus,Javan Myna,Aves,145095
9,659,85092602,Mon Jun 28 2021 18:10:03 GMT+0800 (GMT+8),2021-06-28,2021-06-28 10:10:03 UTC,Perth,4007747,phliew,2021-06-30 14:51:41 UTC,2021-07-03 15:30:21 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/85092602,https://inaturalist-open-data.s3.amazonaws.com/photos/139948590/medium.jpg,,,,2,0,False,3.0,,1.2544469548,103.9337228312,9.0,,,,31447.0,,obscured,True,,,Javan Myna,Acridotheres javanicus,Javan Myna,Aves,145095
10,819,93693291,2021/08/29 4:06 PM UTC,2021-08-29,2021-08-29 16:06:00 UTC,UTC,4902268,aayusharya,2021-09-05 09:31:35 UTC,2021-09-05 09:50:26 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/93693291,https://inaturalist-open-data.s3.amazonaws.com/photos/155323702/medium.png,,,Small roads,2,0,False,,,1.2997644885,103.6854005973,2877.0,,,,31447.0,,obscured,True,,,Javan Myna,Acridotheres javanicus,Javan Myna,Aves,145095
11,489,71198946,2021/03/14 8:11 AM +0800,2021-03-14,2021-03-14 00:11:00 UTC,Singapore,162339,sohkamyung,2021-03-14 07:51:20 UTC,2021-03-14 14:41:07 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/71198946,https://inaturalist-open-data.s3.amazonaws.com/photos/115880082/medium.jpeg,,,,2,0,False,,,1.2232302037,103.992847821,,,,,31447.0,,obscured,True,,,Javan Myna,Acridotheres javanicus,Javan Myna,Aves,145095
12,416,68959546,2021-01-30 5:27:31 PM GMT+08:00,2021-01-30,2021-01-30 01:27:31 UTC,Perth,3944436,e0052753wenxin21,2021-02-02 13:42:04 UTC,2021-05-07 04:18:43 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68959546,https://inaturalist-open-data.s3.amazonaws.com/photos/111790402/medium.jpeg,,,"Black in plumage, white stripe across the secondary at the under side. 

Was found bathing in a small puddle of water at the water pond alone.",10,0,False,2.0,,1.3418909061,103.9929225829,92.0,,,,31447.0,,obscured,True,gps,gps,Javan Myna,Acridotheres javanicus,Javan Myna,Aves,145095
13,601,80203446,2021/05/25 8:27 PM UTC,2021-05-25,2021-05-25 20:27:00 UTC,UTC,4374994,sharikavbhat,2021-05-25 04:34:01 UTC,2021-05-25 14:17:56 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/80203446,https://inaturalist-open-data.s3.amazonaws.com/photos/131434709/medium.jpeg,,,,1,0,False,,,1.2423160579,103.9335218171,216.0,,,,31447.0,,obscured,True,,,Javan Myna,Acridotheres javanicus,Javan Myna,Aves,145095
14,314,63391357,Sat Oct 24 2020 07:35:41 GMT+0800 (GMT+8),2020-10-24,2020-10-23 23:35:41 UTC,Singapore,3701862,kurade,2020-10-24 14:29:03 UTC,2021-03-13 11:43:50 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/63391357,https://inaturalist-open-data.s3.amazonaws.com/photos/101727148/medium.jpg,,,,4,0,False,3.0,,1.4468998467,103.9112890653,224.0,,,,31446.0,,obscured,True,gps,gps,Javan Myna,Acridotheres javanicus,Javan Myna,Aves,145095
15,1074,107610884,2022-02-07,2022-02-07,,UTC,5280351,cheerroll,2022-02-28 03:15:27 UTC,2022-02-28 10:37:00 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/107610884,https://inaturalist-open-data.s3.amazonaws.com/photos/181023488/medium.jpeg,,,,2,0,False,,"1.346430139, 103.6874917",1.346430139,103.6874917,,,,,,,,False,,,Javan Myna,Acridotheres javanicus,Javan Myna,Aves,145095
16,940,100981805,2021/11/12 4:26 PM UTC,2021-11-12,2021-11-12 16:26:00 UTC,UTC,5187034,e0325153ruoxin21,2021-11-13 05:38:55 UTC,2021-11-14 06:41:47 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/100981805,https://inaturalist-open-data.s3.amazonaws.com/photos/168596931/medium.jpeg,,,"Mainly black, with yellow eyes, beak and legs, white bases on tail. Likely an adult (not smaller than other individuals we see around) of indeterminate sex since males and females look alike. Produces a short, high-pitched call frequently while actively jumping and flying around, hopping from a part of the roof to another.",11,0,False,,"Queenstown, Singapore",1.2953890631,103.7789273167,15.0,,,,15.0,,,False,,,Javan Myna,Acridotheres javanicus,Javan Myna,Aves,145095
17,420,69043589,Thu Feb 04 2021 17:12:21 GMT+0800 (GMT+8),2021-02-04,2021-02-04 09:12:21 UTC,Asia/Taipei,3966246,e0201978tabitha21,2021-02-04 09:24:30 UTC,2021-02-11 12:57:48 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/69043589,https://inaturalist-open-data.s3.amazonaws.com/photos/111944443/medium.jpg,,,"Small-sized. Black coat of feathers, rather small in size (~20cm), beaks and feet are yellow-orange, underneath of tail and wings are a coat of white feathers, head seems to be a darker shade of black-brown

Spotted in a group flying across different trees around evening time along the roadside. ",10,0,False,3.0,,1.2169833285,103.8415158957,16.0,,,,31447.0,,obscured,True,,,Javan Myna,Acridotheres javanicus,Javan Myna,Aves,145095
18,36,45671675,2020-05-10 9:22:07 AM GMT+08:00,2020-05-10,2020-05-10 01:22:07 UTC,Singapore,44170,gancw1,2020-05-12 11:42:56 UTC,2020-05-28 13:36:29 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/45671675,https://inaturalist-open-data.s3.amazonaws.com/photos/72431969/medium.jpeg,,,,4,0,False,2.0,,1.3634005151,103.7603694229,13.0,,,,31447.0,,obscured,True,gps,gps,Javan Myna,Acridotheres javanicus,Javan Myna,Aves,145095
19,611,80695248,Tue May 25 2021 14:38:35 GMT+0800 (GMT+8),2021-05-25,2021-05-25 06:38:35 UTC,Perth,4007747,phliew,2021-05-29 05:15:01 UTC,2021-05-29 15:01:25 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/80695248,https://inaturalist-open-data.s3.amazonaws.com/photos/132282418/medium.jpg,,,,2,0,False,3.0,,1.3449825548,103.9432595661,15.0,,,,31447.0,,obscured,True,,,Javan Myna,Acridotheres javanicus,Javan Myna,Aves,145095
20,86,49933441,Wed Jun 17 2020 18:01:23 GMT+0800 (GMT+8),2020-06-17,2020-06-17 10:01:23 UTC,Australia/Perth,3174592,tiark,2020-06-17 11:39:43 UTC,2020-07-31 07:57:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/49933441,https://inaturalist-open-data.s3.amazonaws.com/photos/79282863/medium.jpg,,,,3,0,False,3.0,,1.3451820252,103.8738258427,22.0,,,,31447.0,,obscured,True,,,Javan Myna,Acridotheres javanicus,Javan Myna,Aves,145095
