,index,id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
0,28,44823019,2020-05-03 10:16:09 AM GMT+08:00,2020-05-03,2020-05-03 02:16:09 UTC,Singapore,44170,gancw1,2020-05-04 00:52:13 UTC,2020-05-30 11:04:01 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/44823019,https://inaturalist-open-data.s3.amazonaws.com/photos/71056853/medium.jpeg,,,,3,0,False,2.0,"Clementi, Singapore",1.2946662,103.7680216134,152.0,,,,152.0,,open,False,gps,gps,Olive-backed Sunbird,Cinnyris jugularis,Olive-backed Sunbird,Aves,145194
1,289,66774525,2020-12-13 8:14:39 AM GMT+08:00,2020-12-13,2020-12-13 00:14:39 UTC,Australia/Perth,1163010,prakashbr,2020-12-19 12:53:19 UTC,2020-12-19 15:03:22 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/66774525,https://inaturalist-open-data.s3.amazonaws.com/photos/107721846/medium.jpeg,,,,2,0,False,2.0,Jurong Lake Gardens,1.3358996602,103.7261737883,177.0,,,,177.0,,open,False,gps,gps,Olive-backed Sunbird,Cinnyris jugularis,Olive-backed Sunbird,Aves,145194
2,413,77596523,Thu May 06 2021 11:24:28 GMT+0800 (GMT+8),2021-05-06,2021-05-06 03:24:28 UTC,Taipei,3342422,teoce,2021-05-06 13:04:00 UTC,2021-05-06 14:45:59 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/77596523,https://inaturalist-open-data.s3.amazonaws.com/photos/126917033/medium.jpg,,,,2,0,False,3.0,"Sungei Buloh Wetland Reserve, Lim Chu Kang, Singapore, SG",1.4466934346,103.7301847642,80.0,,,,80.0,,open,False,,,Olive-backed Sunbird,Cinnyris jugularis,Olive-backed Sunbird,Aves,145194
3,588,92867014,Sun Aug 29 2021 10:53:57 GMT+0800 (GMT+8),2021-08-29,2021-08-29 02:53:57 UTC,Beijing,3121672,kaustavr,2021-08-29 03:41:07 UTC,2021-08-31 05:44:29 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/92867014,https://inaturalist-open-data.s3.amazonaws.com/photos/153832084/medium.jpg,,,,2,0,False,3.0,"Bukit Timah Nature Reserve, Singapore, Singapore, SG",1.3643439756,103.77379308,162.0,,,,162.0,,open,False,,,นกกินปลีอกเหลือง,Cinnyris jugularis,Olive-backed Sunbird,Aves,145194
4,16,41348578,2020/04/04 8:55 AM UTC,2020-04-04,,Singapore,1810128,pseudomonasry,2020-04-04 07:18:50 UTC,2020-07-18 14:41:02 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/41348578,https://inaturalist-open-data.s3.amazonaws.com/photos/65586389/medium.jpeg,,,Female. Outside Fragile Forest.,3,0,False,,"Central Water Catchment, Singapore",1.402254392,103.7940049949,31.0,,,,31.0,,open,False,,,Olive-backed Sunbird,Cinnyris jugularis,Olive-backed Sunbird,Aves,145194
5,351,70596262,Fri Feb 26 2021 19:19:36 GMT+0800 (GMT+8),2021-02-26,2021-02-26 11:19:36 UTC,Australia/Perth,3947136,e0202587sam21,2021-03-05 06:08:46 UTC,2021-03-28 09:19:08 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/70596262,https://inaturalist-open-data.s3.amazonaws.com/photos/114798486/medium.jpg,,,"i think it’s a female olive-backed sunbird - the yellow colouration stretches continuously from neck to undertail coverts, and the tail feathers are square shaped at the end. 

perched on a tree chirping. ",4,1,False,3.0,"Westlake Avenue, Thomson, Singapore, SG",1.3455583333,103.8375033333,4.0,,,,4.0,,open,False,,,Olive-backed Sunbird,Cinnyris jugularis,Olive-backed Sunbird,Aves,145194
6,742,103097530,Wed Dec 15 2021 10:02:15 GMT+0800 (GMT+8),2021-12-15,2021-12-15 02:02:15 UTC,Beijing,4007747,phliew,2021-12-15 15:13:12 UTC,2021-12-16 02:55:11 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/103097530,https://inaturalist-open-data.s3.amazonaws.com/photos/172478174/medium.jpg,,,,1,0,False,3.0,"Hougang Primary School, Hougang, Singapore, SG",1.3773540964,103.8810830061,24.0,,,,24.0,,open,False,,,Olive-backed Sunbird,Cinnyris jugularis,Olive-backed Sunbird,Aves,145194
7,841,107463516,Sat Feb 26 2022 15:37:10 GMT+0800 (GMT+8),2022-02-26,2022-02-26 07:37:10 UTC,Beijing,5186426,singhamo,2022-02-26 07:37:37 UTC,2022-02-27 14:20:38 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/107463516,https://inaturalist-open-data.s3.amazonaws.com/photos/180748144/medium.jpg,,,,2,0,False,3.0,"Sentosa, Sentosa, Singapore, SG",1.2397562965,103.8376021112,10.0,,,,10.0,,open,False,,,Olive-backed Sunbird,Cinnyris jugularis,Olive-backed Sunbird,Aves,145194
8,829,107104174,2022/02/20 11:38 AM UTC,2022-02-20,2022-02-20 11:38:00 UTC,UTC,4609202,gunwinger,2022-02-20 12:55:36 UTC,2022-02-20 13:13:34 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/107104174,https://inaturalist-open-data.s3.amazonaws.com/photos/180070192/medium.jpg,,,,2,0,False,,"Tanglin, Singapore",1.3212560938,103.8172450649,2.0,,,,2.0,,open,False,,,Olive-backed Sunbird,Cinnyris jugularis,Olive-backed Sunbird,Aves,145194
9,625,95115097,2021/08/07 1:36 AM UTC,2021-08-07,2021-08-07 01:36:00 UTC,UTC,4945444,sadhikavikrambhat,2021-09-17 04:46:23 UTC,2021-09-17 14:46:20 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/95115097,https://inaturalist-open-data.s3.amazonaws.com/photos/157867186/medium.jpeg,,,,3,0,False,,Singapore,1.35611,103.959816,216.0,,,,216.0,,open,False,,,นกกินปลีอกเหลือง,Cinnyris jugularis,Olive-backed Sunbird,Aves,145194
