,index,id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
0,25,41349776,2020/04/03 7:28 AM +0800,2020-04-03,2020-04-02 23:28:00 UTC,Singapore,1821980,lmfyx,2020-04-04 08:09:57 UTC,2020-07-18 14:41:00 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/41349776,https://inaturalist-open-data.s3.amazonaws.com/photos/65589895/medium.jpg,,,,5,0,False,,"Bukit Timah, Singapore",1.3363189571,103.7721202541,427.0,,,,427.0,,open,False,,,Pink-necked Green-Pigeon,Treron vernans,Pink-necked Green-Pigeon,Aves,3393
1,758,105827971,2022/01/30 12:07 PM +0800,2022-01-30,2022-01-30 04:07:00 UTC,Singapore,162339,sohkamyung,2022-01-30 09:05:23 UTC,2022-01-31 03:34:48 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/105827971,https://inaturalist-open-data.s3.amazonaws.com/photos/177655273/medium.jpeg,,,,2,0,False,,"Punggol, Singapore",1.40513,103.923567,,,,,,,open,False,,,Pink-necked Green-Pigeon,Treron vernans,Pink-necked Green-Pigeon,Aves,3393
2,418,76817836,2021-05-03 10:11:00,2021-05-03,2021-05-03 02:11:00 UTC,Singapore,1688044,nickwilde6978,2021-05-03 03:15:31 UTC,2021-05-03 15:18:31 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/76817836,https://inaturalist-open-data.s3.amazonaws.com/photos/125638140/medium.jpeg,,,,1,0,False,2.0,"Jurong East, Singapore",1.33184,103.7277866667,,,,,,,open,False,gps,gps,Pink-necked Green-Pigeon,Treron vernans,Pink-necked Green-Pigeon,Aves,3393
3,600,97748401,2021/10/10 1:10 PM UTC,2021-10-10,2021-10-10 13:10:00 UTC,UTC,4609202,gunwinger,2021-10-10 09:38:40 UTC,2021-10-12 13:09:42 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/97748401,https://inaturalist-open-data.s3.amazonaws.com/photos/162616842/medium.jpg,,,,2,0,False,,"Tanglin, Singapore",1.3098548494,103.8161396677,1.0,,,,1.0,,open,False,,,Pink-necked Green-Pigeon,Treron vernans,Pink-necked Green-Pigeon,Aves,3393
4,12,40232731,2020/03/19 3:02 PM SGT,2020-03-19,2020-03-19 07:02:00 UTC,Singapore,2526418,a0161852huilin20,2020-03-19 14:14:16 UTC,2020-03-22 09:01:59 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/40232731,https://inaturalist-open-data.s3.amazonaws.com/photos/63912356/medium.jpeg,,,,3,0,False,,"Bukit Merah, Singapore",1.2788247108,103.8106620312,15.0,,,,15.0,,open,False,,,Pink-necked Green-Pigeon,Treron vernans,Pink-necked Green-Pigeon,Aves,3393
5,146,60513660,2020/09/18 8:48 AM UTC,2020-09-18,2020-09-18 08:48:00 UTC,UTC,3592846,zerstorer,2020-09-23 14:19:19 UTC,2020-10-10 10:43:17 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/60513660,https://inaturalist-open-data.s3.amazonaws.com/photos/96774141/medium.jpg,,,,5,0,False,,"Bedok, Singapore",1.3248026028,103.9558498338,1.0,,,,1.0,,open,False,,,Pink-necked Green-Pigeon,Treron vernans,Pink-necked Green-Pigeon,Aves,3393
6,206,65741499,2020-11-28 4:14:20 PM GMT+08:00,2020-11-28,2020-11-28 08:14:20 UTC,Singapore,162339,sohkamyung,2020-11-28 09:22:53 UTC,2020-12-05 10:44:39 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/65741499,https://inaturalist-open-data.s3.amazonaws.com/photos/105863093/medium.jpeg,,,,3,0,False,2.0,"Aft En-Naeem Mque, Singapore",1.361817,103.8912009722,,,,,,,open,False,gps,gps,Pink-necked Green-Pigeon,Treron vernans,Pink-necked Green-Pigeon,Aves,3393
7,763,106005809,2022-02-02 08:10:54,2022-02-02,2022-02-02 00:10:54 UTC,Singapore,5295561,e0406234ishaan22,2022-02-02 05:43:06 UTC,2022-02-02 16:11:55 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/106005809,https://inaturalist-open-data.s3.amazonaws.com/photos/177991165/medium.jpeg,,,Predominantly green bird seen hopping from branch to branch of a tree. It had distinctive yellow wing bars and a small generalist type beak. It seems to be a female of the pink-necked green pigeon species. ,4,0,False,2.0,"Long Kuan Hung Crocodile Farm, Singapore",1.4405403,103.7312698,,,,,,,open,False,gps,gps,Pink-necked Green-Pigeon,Treron vernans,Pink-necked Green-Pigeon,Aves,3393
8,436,78675103,2021/04/11 3:43 PM +0800,2021-04-11,2021-04-11 07:43:00 UTC,Singapore,651850,patricialorenz,2021-05-14 07:58:46 UTC,2021-05-14 15:48:47 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/78675103,https://inaturalist-open-data.s3.amazonaws.com/photos/128786282/medium.jpeg,,,,2,0,False,,"Kent Ridge Park, Singapore",1.2838852,103.7912945,608.0,,,,608.0,,open,False,,,Pink-necked Green-Pigeon,Treron vernans,Pink-necked Green-Pigeon,Aves,3393
9,331,70242586,2021/02/27 9:28 AM +0800,2021-02-27,2021-02-27 01:28:00 UTC,Singapore,162339,sohkamyung,2021-02-27 09:11:12 UTC,2021-02-27 15:30:53 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/70242586,https://inaturalist-open-data.s3.amazonaws.com/photos/114149100/medium.jpeg,,,,2,0,False,,"Lim Chu Kang, Singapore",1.4184499722,103.7220279722,,,,,,,open,False,,,Pink-necked Green-Pigeon,Treron vernans,Pink-necked Green-Pigeon,Aves,3393
