,index,id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
0,414,82387771,2021-05-29 18:41:31,2021-05-29,2021-05-29 10:41:31 UTC,Singapore,44170,gancw1,2021-06-10 04:58:31 UTC,2021-06-10 05:25:02 UTC,research,CC0,https://www.inaturalist.org/observations/82387771,https://inaturalist-open-data.s3.amazonaws.com/photos/135215457/medium.jpeg,,,,1,0,False,2.0,"Clementi, Singapore",1.2955940072,103.7681828812,7.0,,,,7.0,,open,False,gps,gps,Spotted Dove,Streptopelia chinensis,Spotted Dove,Aves,144549
1,363,75020896,2021-04-24 2:11:09 PM GMT+08:00,2021-04-24,2021-04-24 06:11:09 UTC,Perth,4063353,gavin_n,2021-04-24 10:12:40 UTC,2021-12-26 05:24:45 UTC,research,CC0,https://www.inaturalist.org/observations/75020896,https://inaturalist-open-data.s3.amazonaws.com/photos/122685776/medium.jpeg,,,,2,0,False,2.0,"Police Pass Off, Singapore",1.3851090116,104.0009902418,6.0,,,,6.0,,open,False,gps,gps,Spotted Dove,Streptopelia chinensis,Spotted Dove,Aves,144549
2,299,69368323,2021/02/08 8:35 AM UTC,2021-02-08,2021-02-08 08:35:00 UTC,UTC,3947761,e0424873yingfeng21,2021-02-10 16:04:44 UTC,2021-02-28 14:23:48 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/69368323,https://inaturalist-open-data.s3.amazonaws.com/photos/112522988/medium.jpg,,,"Description: Body mostly brown with dark brown-black spots along the wings. Distinctive spotted patch along the nape. Heel is white, and feet are of a pinkish color. Beak is black.",10,0,False,,"Queenstown, Singapore",1.3060496425,103.7773013276,8.0,,,,8.0,,open,False,,,Spotted Dove,Streptopelia chinensis,Spotted Dove,Aves,144549
3,187,60046018,2020-09-19 8:12:57 AM GMT+08:00,2020-09-19,2020-09-19 00:12:57 UTC,Singapore,162339,sohkamyung,2020-09-19 06:25:20 UTC,2020-09-20 02:59:11 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/60046018,https://inaturalist-open-data.s3.amazonaws.com/photos/95987770/medium.jpeg,,,,4,0,False,2.0,"Hougang, Singapore",1.361002,103.88706,,,,,,,open,False,gps,gps,Spotted Dove,Streptopelia chinensis,Spotted Dove,Aves,144549
4,515,93855625,2021/09/06 4:50 PM +0800,2021-09-06,2021-09-06 08:50:00 UTC,Singapore,4833518,patengpat,2021-09-06 14:19:25 UTC,2021-09-07 14:54:22 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/93855625,https://inaturalist-open-data.s3.amazonaws.com/photos/155612150/medium.jpeg,,,,3,0,False,,"Pasir Ris Beach, Singapore",1.385,103.9455556,2169.0,,,,2169.0,,open,False,,,Spotted Dove,Streptopelia chinensis,Spotted Dove,Aves,144549
5,389,78513582,Wed May 12 2021 17:40:09 GMT+0800 (GMT+8),2021-05-12,2021-05-12 09:40:09 UTC,Perth,4385114,sanjana_,2021-05-12 22:49:37 UTC,2021-05-13 14:56:48 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/78513582,https://inaturalist-open-data.s3.amazonaws.com/photos/128499992/medium.jpg,,,,1,0,False,3.0,"National Service Resort & Country Club, Singapore, Singapore, SG",1.3213758317,103.969899231,28.0,,,,28.0,,open,False,,,Spotted Dove,Streptopelia chinensis,Spotted Dove,Aves,144549
6,357,74116505,2021-04-16 1:20:36 PM GMT+08:00,2021-04-16,2021-04-16 05:20:36 UTC,Singapore,162339,sohkamyung,2021-04-16 06:16:17 UTC,2021-04-16 12:36:26 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/74116505,https://inaturalist-open-data.s3.amazonaws.com/photos/121099243/medium.jpeg,,,,2,0,False,2.0,"Block 16, Singapore",1.3625409722,103.890968,,,,,,,open,False,gps,gps,Spotted Dove,Streptopelia chinensis,Spotted Dove,Aves,144549
7,180,58818896,2020-09-07 5:14:13 PM GMT+08:00,2020-09-07,2020-09-07 09:14:13 UTC,Australia/Perth,3572267,littlerosybear,2020-09-07 09:15:58 UTC,2020-09-09 13:53:59 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/58818896,https://inaturalist-open-data.s3.amazonaws.com/photos/93933824/medium.jpeg,,,,4,0,False,2.0,"Bishan, Singapore",1.355896,103.829502,,,,,,,open,False,gps,gps,Spotted Dove,Streptopelia chinensis,Spotted Dove,Aves,144549
8,491,92766605,2021/08/28 8:05 AM +0800,2021-08-28,2021-08-28 00:05:00 UTC,Singapore,162339,sohkamyung,2021-08-28 12:10:13 UTC,2021-08-28 15:02:38 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/92766605,https://inaturalist-open-data.s3.amazonaws.com/photos/153650121/medium.jpeg,,,,2,0,False,,"Hougang, Singapore",1.362584,103.891457,,,,,,,open,False,,,Spotted Dove,Streptopelia chinensis,Spotted Dove,Aves,144549
9,31,44969226,2020-05-05 12:51:01 PM GMT+08:00,2020-05-05,2020-05-05 04:51:01 UTC,Singapore,44170,gancw1,2020-05-05 12:46:31 UTC,2020-05-06 13:41:09 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/44969226,https://inaturalist-open-data.s3.amazonaws.com/photos/71293018/medium.jpeg,,,,2,0,False,2.0,"Clementi, Singapore",1.2951143497,103.7680132315,25.0,,,,25.0,,open,False,gps,gps,Spotted Dove,Streptopelia chinensis,Spotted Dove,Aves,144549
