,index,id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
0,462,96054443,2021/09/25 9:23 AM +0800,2021-09-25,2021-09-25 01:23:00 UTC,Singapore,162339,sohkamyung,2021-09-25 07:34:18 UTC,2021-09-25 15:04:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/96054443,https://inaturalist-open-data.s3.amazonaws.com/photos/159530799/medium.jpeg,,,,2,0,False,,"Lim Chu Kang, Singapore",1.4447449722,103.726916,,,,,,,open,False,,,Striated Heron,Butorides striata,Striated Heron,Aves,62528
1,594,107623246,2022-02-26 12:22:25,2022-02-26,2022-02-26 04:22:25 UTC,Singapore,4826141,grass_0,2022-02-28 08:13:41 UTC,2022-02-28 10:35:46 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/107623246,https://inaturalist-open-data.s3.amazonaws.com/photos/181047258/medium.jpeg,,,,2,0,False,2.0,Singapore,1.2649594308,103.8079345599,31.0,,,,31.0,,open,False,gps,gps,Striated Heron,Butorides striata,Striated Heron,Aves,62528
2,238,67840646,2021/01/04 5:46 PM +0800,2021-01-04,2021-01-04 09:46:00 UTC,Singapore,651850,patricialorenz,2021-01-10 06:27:54 UTC,2021-01-10 15:44:32 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/67840646,https://inaturalist-open-data.s3.amazonaws.com/photos/109711015/medium.jpeg,,,eating frog or toad,2,0,False,,"Bedok Park Connector, Singapore",1.3369017,103.9384426,212.0,,,,212.0,,open,False,,,Striated Heron,Butorides striata,Striated Heron,Aves,62528
3,559,103962192,2021-12-23 16:21:39,2021-12-23,2021-12-23 08:21:39 UTC,Singapore,4063353,gavin_n,2021-12-30 15:18:19 UTC,2021-12-30 23:30:44 UTC,research,CC0,https://www.inaturalist.org/observations/103962192,https://inaturalist-open-data.s3.amazonaws.com/photos/174127042/medium.jpeg,,,Best bird,2,0,False,2.0,"Jurong East, Singapore",1.3407889989,103.7249051034,11.0,,,,11.0,,open,False,gps,gps,Striated Heron,Butorides striata,Striated Heron,Aves,62528
4,43,50214540,2020/06/18 6:39 PM +0800,2020-06-18,2020-06-18 10:39:00 UTC,Singapore,651850,patricialorenz,2020-06-20 01:03:10 UTC,2020-07-22 10:47:37 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/50214540,https://inaturalist-open-data.s3.amazonaws.com/photos/79738987/medium.jpeg,,,,4,0,False,,"Sungei Bedok, Singapore",1.3345319011,103.9479662046,15.0,,,,15.0,,open,False,,,Striated Heron,Butorides striata,Striated Heron,Aves,62528
5,555,103524159,2021/11/19,2021-11-19,,Singapore,5240371,moniquecordeiro,2021-12-23 13:07:47 UTC,2021-12-24 00:13:53 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/103524159,https://inaturalist-open-data.s3.amazonaws.com/photos/173283934/medium.jpg,,,,2,0,False,,"Bishan, Singapur",1.3646447555,103.8354202516,15.0,,,,15.0,,open,False,,,Striated Heron,Butorides striata,Striated Heron,Aves,62528
6,170,62557226,2020/10/14 3:22 PM +0800,2020-10-14,2020-10-14 07:22:00 UTC,Singapore,1810128,pseudomonasry,2020-10-14 14:36:57 UTC,2020-10-17 09:59:49 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/62557226,https://inaturalist-open-data.s3.amazonaws.com/photos/100248542/medium.jpeg,,,,3,0,False,,"Lim Chu Kang, Singapore",1.4421906307,103.733381935,244.0,,,,244.0,,open,False,,,Butorides striata,Butorides striata,Striated Heron,Aves,62528
7,451,93998081,2021/09/07 6:02 PM +0800,2021-09-07,2021-09-07 10:02:00 UTC,Singapore,604276,catalinatong,2021-09-07 15:16:21 UTC,2021-09-07 15:23:46 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/93998081,https://inaturalist-open-data.s3.amazonaws.com/photos/155868904/medium.jpeg,,,,1,0,False,,"Yishun Ave 1, Singapore 769130",1.4237068,103.8608958,203.0,,,,203.0,,open,False,,,Striated Heron,Butorides striata,Striated Heron,Aves,62528
8,587,107036570,2022/02/19 6:36 PM UTC,2022-02-19,2022-02-19 18:36:00 UTC,UTC,4609202,gunwinger,2022-02-19 14:30:50 UTC,2022-02-19 15:02:31 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/107036570,https://inaturalist-open-data.s3.amazonaws.com/photos/179941958/medium.jpg,,,,2,0,False,,"Bukit Timah, Singapore",1.3184506344,103.7720678137,8.0,,,,8.0,,open,False,,,Striated Heron,Butorides striata,Striated Heron,Aves,62528
9,508,100382061,2021/11/06 11:28 AM UTC,2021-11-06,2021-11-06 11:28:00 UTC,UTC,4609202,gunwinger,2021-11-06 08:00:57 UTC,2021-11-06 13:02:45 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/100382061,https://inaturalist-open-data.s3.amazonaws.com/photos/167530118/medium.jpg,,,,2,0,False,,"Clementi, Singapore",1.3219484763,103.7679169071,8.0,,,,8.0,,open,False,,,Striated Heron,Butorides striata,Striated Heron,Aves,62528
