,index,id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
0,462,86940141,2021/06/26 5:06 PM +0800,2021-06-26,2021-06-26 09:06:00 UTC,Singapore,651850,patricialorenz,2021-07-14 02:52:59 UTC,2021-07-15 14:10:57 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/86940141,https://inaturalist-open-data.s3.amazonaws.com/photos/143311883/medium.jpeg,,,,2,0,False,,"Tampines Eco Green, Singapore",1.3638614064,103.9482714306,274.0,,,,274.0,,open,False,,,White-breasted Waterhen,Amaurornis phoenicurus,White-breasted Waterhen,Aves,199
1,51,49129727,2020-06-10 2:05:00 PM GMT+08:00,2020-06-10,2020-06-10 06:05:00 UTC,Australia/Perth,2659953,aini_f,2020-06-10 15:32:35 UTC,2020-07-27 09:40:32 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/49129727,https://inaturalist-open-data.s3.amazonaws.com/photos/77983282/medium.jpg,,,,4,0,False,2.0,"Opp Blk 451, Singapore",1.3857850659,103.7730517611,29.0,,,,29.0,,open,False,gps,gps,White-breasted Waterhen,Amaurornis phoenicurus,White-breasted Waterhen,Aves,199
2,748,103962071,2021-12-23 16:17:30,2021-12-23,2021-12-23 08:17:30 UTC,Singapore,4063353,gavin_n,2021-12-30 15:16:10 UTC,2021-12-30 23:30:56 UTC,research,CC0,https://www.inaturalist.org/observations/103962071,https://inaturalist-open-data.s3.amazonaws.com/photos/174126843/medium.jpeg,,,Adult and juvenile,2,0,False,2.0,,1.303482426,103.796833259,11.0,,,,31447.0,obscured,open,True,gps,gps,White-breasted Waterhen,Amaurornis phoenicurus,White-breasted Waterhen,Aves,199
3,708,102497201,2020/12/31 9:44 AM +0800,2020-12-31,2020-12-31 01:44:00 UTC,Singapore,2471734,ng_yu_fei,2021-12-04 23:44:56 UTC,2021-12-05 09:41:14 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/102497201,https://inaturalist-open-data.s3.amazonaws.com/photos/171349497/medium.jpeg,,,,2,0,False,,"Hampstead Wetlands Park, Singapore",1.4094729283,103.8696495124,4.0,,,,4.0,,open,False,,,White-breasted Waterhen,Amaurornis phoenicurus,White-breasted Waterhen,Aves,199
4,843,107240536,2022/02/21 11:41 AM UTC,2022-02-21,2022-02-21 11:41:00 UTC,UTC,5376742,ls_rg,2022-02-22 07:31:13 UTC,2022-02-22 12:36:13 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/107240536,https://inaturalist-open-data.s3.amazonaws.com/photos/180323592/medium.jpeg,,,,1,0,False,,Sungei Buloh Wetland Reserve,1.447999,103.724544,977192.0,,,,977192.0,,open,False,,manual,White-breasted Waterhen,Amaurornis phoenicurus,White-breasted Waterhen,Aves,199
5,830,106786900,2022-02-12 15:53:17,2022-02-12,2022-02-12 07:53:17 UTC,Singapore,4063353,gavin_n,2022-02-15 07:51:22 UTC,2022-02-15 13:57:10 UTC,research,CC0,https://www.inaturalist.org/observations/106786900,https://inaturalist-open-data.s3.amazonaws.com/photos/179467943/medium.jpeg,,,,2,0,False,2.0,"Pasir Ris, Singapore",1.3783226497,103.9463030174,9.0,,,,9.0,,open,False,gps,gps,White-breasted Waterhen,Amaurornis phoenicurus,White-breasted Waterhen,Aves,199
6,466,87392336,Sat Jul 17 2021 15:19:09 GMT +0800 (GMT+8),2021-07-17,2021-07-17 07:19:09 UTC,Singapore,4460146,amakss99,2021-07-17 13:20:33 UTC,2021-07-17 14:11:25 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/87392336,https://inaturalist-open-data.s3.amazonaws.com/photos/144080458/medium.jpeg,,,,2,0,False,333.0,Lim Chu Kang,1.4467281103,103.7289810181,16.0,,,,16.0,,open,False,,,White-breasted Waterhen,Amaurornis phoenicurus,White-breasted Waterhen,Aves,199
7,825,106663904,2022-02-12 11:34:05,2022-02-12,2022-02-12 03:34:05 UTC,Singapore,4895730,mohamedridzuan,2022-02-13 08:07:40 UTC,2022-02-16 13:24:57 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/106663904,https://inaturalist-open-data.s3.amazonaws.com/photos/179231436/medium.jpeg,,,,2,0,False,2.0,"Tanglin, Singapore",1.3097574,103.8148876997,,,,,,,open,False,gps,gps,White-breasted Waterhen,Amaurornis phoenicurus,White-breasted Waterhen,Aves,199
8,640,100219585,Thu Nov 04 2021 16:50:23 GMT+0800 (GMT+8),2021-11-04,2021-11-04 08:50:23 UTC,Beijing,5022858,andrew2021,2021-11-04 08:51:34 UTC,2021-11-04 13:53:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/100219585,https://inaturalist-open-data.s3.amazonaws.com/photos/167236934/medium.jpg,,,,2,0,False,3.0,"Bishan-Ang Mo Kio Park, Thomson, Singapore, SG",1.364145,103.83783,4.0,,,,4.0,,open,False,,,White-breasted Waterhen,Amaurornis phoenicurus,White-breasted Waterhen,Aves,199
9,511,91918227,Sat Aug 21 2021 09:50:58 GMT+0800 (GMT+8),2021-08-21,2021-08-21 01:50:58 UTC,Beijing,4876188,angiewyl,2021-08-21 01:51:12 UTC,2021-08-30 05:22:24 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/91918227,https://inaturalist-open-data.s3.amazonaws.com/photos/152116471/medium.jpg,,,Parks,2,0,False,3.0,"Eco-Lake, Holland Village, Singapore, SG",1.3217380637,103.8165270392,16.0,,,,16.0,,open,False,,,White-breasted Waterhen,Amaurornis phoenicurus,White-breasted Waterhen,Aves,199
